player_id,name,team,team_id,url,position,position_short,position_group,height_cm,shirt,age,country,preferred_foot,market_value_usd,market_value_eur,market_value,contract_end,league_name,league_group,season_league,season_year,All Competitions - Clean sheets,All Competitions - Goals conceded,All Competitions - Saved penalties,All Competitions - Rating,All Competitions - Matches,All Competitions - Minutes played,All Competitions - Yellow cards,All Competitions - Red cards,Goalkeeping - Saves,Goalkeeping - Save percentage,Goalkeeping - Goals conceded,Goalkeeping - Goals prevented,Goalkeeping - Clean sheets,Goalkeeping - Penalty saves,Goalkeeping - Penalties conceded,Goalkeeping - Penalty save %,Goalkeeping - Error led to goal,Goalkeeping - Acted as sweeper,Goalkeeping - High claims,Distribution - Accurate passes,Distribution - Pass accuracy,Distribution - Accurate long balls,Distribution - Long ball accuracy,Distribution - xA,Discipline - Yellow cards,Discipline - Red cards,Selected Competition - Conceded,Selected Competition - Clean sheets,Selected Competition - Rating,Selected Competition - Matches,Selected Competition - Started,Selected Competition - Penalties saved,Goalkeeping - Saves (per90),Goalkeeping - Save percentage (per90),Goalkeeping - Goals conceded (per90),Goalkeeping - Goals prevented (per90),Goalkeeping - Clean sheets (per90),Goalkeeping - Penalty saves (per90),Goalkeeping - Penalties conceded (per90),Goalkeeping - Penalty save % (per90),Goalkeeping - Error led to goal (per90),Goalkeeping - Acted as sweeper (per90),Goalkeeping - High claims (per90),Distribution - Accurate passes (per90),Distribution - Pass accuracy (per90),Distribution - Accurate long balls (per90),Distribution - Long ball accuracy (per90),Distribution - xA (per90),Discipline - Yellow cards (per90),Discipline - Red cards (per90),All Competitions - Goals,All Competitions - Assists,All Competitions - Started,Shooting - Goals,Shooting - xG,Shooting - xG excl. penalty,Shooting - Shots,Passing - Assists,Passing - xA,Passing - Accurate passes,Passing - Pass accuracy,Passing - Accurate long balls,Passing - Long ball accuracy,Passing - Chances created,Passing - Big chances created,Passing - Successful crosses,Passing - Cross accuracy,Possession - Dribbles,Possession - Dribbles success rate,Possession - Duels won,Possession - Duels won %,Possession - Aerials won,Possession - Aerials won %,Possession - Touches,Possession - Touches in opposition box,Possession - Dispossessed,Possession - Fouls won,Defending - Defensive actions,Defending - Tackles,Defending - Interceptions,Defending - Blocked scoring attempt,Defending - Fouls committed,Defending - Recoveries,Defending - Possession won final 3rd,Defending - Dribbled past,Defending - Clearances,Defending - Clean sheets,Defending - Goals conceded while on pitch,Defending - xG against while on pitch,Selected Competition - Goals,Selected Competition - Assists,Selected Competition - Minutes,Shooting - Goals (per90),Shooting - xG (per90),Shooting - xG excl. penalty (per90),Shooting - Shots (per90),Passing - Assists (per90),Passing - xA (per90),Passing - Accurate passes (per90),Passing - Pass accuracy (per90),Passing - Accurate long balls (per90),Passing - Long ball accuracy (per90),Passing - Chances created (per90),Passing - Big chances created (per90),Passing - Successful crosses (per90),Passing - Cross accuracy (per90),Possession - Dribbles (per90),Possession - Dribbles success rate (per90),Possession - Duels won (per90),Possession - Duels won % (per90),Possession - Aerials won (per90),Possession - Aerials won % (per90),Possession - Touches (per90),Possession - Touches in opposition box (per90),Possession - Dispossessed (per90),Possession - Fouls won (per90),Defending - Defensive actions (per90),Defending - Tackles (per90),Defending - Interceptions (per90),Defending - Blocked scoring attempt (per90),Defending - Fouls committed (per90),Defending - Recoveries (per90),Defending - Possession won final 3rd (per90),Defending - Dribbled past (per90),Defending - Clearances (per90),Defending - Clean sheets (per90),Defending - Goals conceded while on pitch (per90),Defending - xG against while on pitch (per90),Shooting - Shots on target,Shooting - Headed shots,Shooting - Shots on target (per90),Shooting - Headed shots (per90),Shooting - xGOT,Shooting - xGOT (per90),Defending - Penalties conceded,Defending - Penalties conceded (per90),Possession - Penalties awarded,Possession - Penalties awarded (per90),market_value_usd_raw
784824,Alexandros Katranis,Real Salt Lake,6606,https://www.fotmob.com/players/784824/alexandros-katranis,Left Back,LB,defenders,174 cm,98,28,Greece,Left,$532.7k,464405,€464.4k,2026-12-31,MLS,Western,Major League Soccer,2026,,,,6.52,5,335,1,0,,,,,,,,,,,,,,,,,1,0,,,6.52,5,4,,,,,,,,,,,,,,,,,,0.27,0.0,0.0,0.0,4.0,0,0.14,0.14,3,0,0.48,74,76.3,10,62.5,3,,3,37.5,,,8,42.1,2,66.7,160,6,2,4,12,2,4,1,8,9,3,1,5,0,5,5.76,0,0,335,0.0,0.04,0.04,0.81,0.0,0.13,19.88,76.29,2.69,62.5,0.81,,0.81,37.5,,,2.15,42.11,0.54,66.67,42.99,1.61,0.54,1.07,3.22,0.54,1.07,0.27,2.15,2.42,0.81,0.27,1.34,0.0,1.34,1.55,2,,0.54,,0.09,0.02,,,,,532672.54
614602,Stijn Spierings,Real Salt Lake,6606,https://www.fotmob.com/players/614602/stijn-spierings,Central Midfielder,CM,midfielders,187 cm,6,30,Netherlands,Right,$1.1m,962835,€962.8k,2028-06-30,MLS,Western,Major League Soccer,2026,,,,7.09,11,760,1,0,,,,,,,,,,,,,,,,,1,0,,,7.09,11,9,,,,,,,,,,,,,,,,,,0.12,0.0,1.0,1.0,9.0,1,0.35,0.35,8,1,1.68,424,90.6,21,72.4,9,3,2,33.3,1,25.0,39,50.6,11,68.8,583,9,8,8,42,19,12,2,17,48,9,5,9,0,10,10.04,1,1,760,0.12,0.04,0.04,0.95,0.12,0.2,50.21,90.6,2.49,72.41,1.07,0.36,0.24,33.33,0.12,25.0,4.62,50.65,1.3,68.75,69.04,1.07,0.95,0.95,4.97,2.25,1.42,0.24,2.01,5.68,1.07,0.59,1.07,0.0,1.18,1.19,4,2,0.47,0.24,1.07,0.13,,,,,1104371.75
1252636,Diego Luna,Real Salt Lake,6606,https://www.fotmob.com/players/1252636/diego-luna,Left Midfielder,LM,midfielders,173 cm,10,22,USA,Right,$7.3m,6397105,€6.4m,2026-12-31,MLS,Western,Major League Soccer,2026,,,,7.45,9,608,3,0,,,,,,,,,,,,,,,,,3,0,,,7.45,9,6,,,,,,,,,,,,,,,,,,0.44,0.0,4.0,1.0,6.0,4,2.46,2.46,16,1,2.66,324,81.8,15,68.2,28,5,11,44.0,6,54.5,16,41.0,,,508,29,7,6,9,4,4,,7,28,7,1,1,0,10,8.82,4,1,608,0.59,0.36,0.36,2.37,0.15,0.39,47.96,81.82,2.22,68.18,4.14,0.74,1.63,44.0,0.89,54.55,2.37,41.03,,,75.2,4.29,1.04,0.89,1.33,0.59,0.59,,1.04,4.14,1.04,0.15,0.15,0.0,1.48,1.31,6,,0.89,,3.85,0.57,,,,,7337479.44
1206970,Dominik Marczuk,Real Salt Lake,6606,https://www.fotmob.com/players/1206970/dominik-marczuk,Right Winger,RW,midfielders,174 cm,11,22,Poland,Both,$1.8m,1563959,€1.6m,,MLS,Western,Major League Soccer,2026,,,,6.33,8,182,1,0,,,,,,,,,,,,,,,,,1,0,,,6.33,8,1,,,,,,,,,,,,,,,,,,0.49,0.0,0.0,0.0,1.0,0,0.17,0.17,3,0,0.08,44,71.0,,,1,,1,14.3,3,42.9,18,50.0,1,100.0,117,10,4,8,9,6,2,,3,2,,7,1,0,3,4.75,0,0,182,0.0,0.09,0.09,1.48,0.0,0.04,21.76,70.97,,,0.49,,0.49,14.29,1.48,42.86,8.9,50.0,0.49,100.0,57.86,4.95,1.98,3.96,4.45,2.97,0.99,,1.48,0.99,,3.46,0.49,0.0,1.48,2.35,,,,,,,,,,,1793860.97
1440013,Emeka Eneli,Real Salt Lake,6606,https://www.fotmob.com/players/1440013/emeka-eneli,Central Midfielder,CM,midfielders,175 cm,14,26,USA,,$1.9m,1626831,€1.6m,2028-12-31,MLS,Western,Major League Soccer,2025,,,,7.0,29,1846,3,0,,,,,,,,,,,,,,,,,3,0,,,7.00,29,19,,,,,,,,,,,,,,,,,,0.15,0.0,0.0,1.0,19.0,0,0.31,0.31,9,1,1.44,886,89.8,25,67.6,21,2,2,16.7,26,60.5,132,60.0,12,52.2,1338,21,15,57,92,40,20,8,27,138,18,21,,3,36,37.28,0,1,1846,0.0,0.02,0.02,0.44,0.05,0.07,43.2,89.77,1.22,67.57,1.02,0.1,0.1,16.67,1.27,60.47,6.44,60.0,0.59,52.17,65.23,1.02,0.73,2.78,4.49,1.95,0.98,0.39,1.32,6.73,0.88,1.02,,0.15,1.76,1.82,2,,0.1,,0.11,0.01,,,,,1865975.16
1257558,Zach Booth,Real Salt Lake,6606,https://www.fotmob.com/players/1257558/zach-booth,Right Wing-Back,RWB,midfielders,184 cm,23,22,USA,Right,$453.2k,395146,€395.1k,,MLS,Western,Major League Soccer,2026,,,,6.76,8,318,0,0,,,,,,,,,,,,,,,,,0,0,,,6.76,8,4,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,4.0,1,0.20,0.20,3,0,0.05,58,77.3,3,42.9,2,,1,14.3,3,50.0,21,42.9,1,10.0,147,2,6,5,21,12,4,,7,16,1,3,5,0,3,4.02,1,0,318,0.28,0.06,0.06,0.85,0.0,0.01,16.42,77.33,0.85,42.86,0.57,,0.28,14.29,0.85,50.0,5.94,42.86,0.28,10.0,41.6,0.57,1.7,1.42,5.94,3.4,1.13,,1.98,4.53,0.28,0.85,1.42,0.0,0.85,1.14,1,,0.28,,0.48,0.14,,,,,453232.46
1254035,Griffin Dillon,Real Monarchs SLC,6606,https://www.fotmob.com/players/1254035/griffin-dillon,Defensive Midfielder,DM,midfielders,180 cm,27,23,USA,Right,$165.2k,144000,€144k,,MLS,Western,MLS Next Pro,2026,,,,6.37,2,141,1,0,,,,,,,,,,,,,,,,,1,0,,,6.80,8,3,,,,,,,,,,,,,,,,,,0.28,0.0,0.0,0.0,2.0,0,0.56,0.56,4,0,0.83,117,89.3,6,66.7,6,1,7,63.6,,,15,60.0,2,66.7,182,4,1,9,12,4,4,1,4,9,,3,3,1,5,5.45,0,0,319,0.0,0.16,0.16,1.13,0.0,0.23,33.01,89.31,1.69,66.67,1.69,0.28,1.97,63.64,,,4.23,60.0,0.56,66.67,51.35,1.13,0.28,2.54,3.39,1.13,1.13,0.28,1.13,2.54,,0.85,0.85,0.28,1.41,1.54,2,,0.56,,0.51,0.14,,,,,165168.0
1513015,Owen Anderson,Real Monarchs SLC,6606,https://www.fotmob.com/players/1513015/owen-anderson,Attacking Midfielder,AM,midfielders,178 cm,30,19,USA,Right,$57.4k,50000,€50k,,MLS,Western,MLS Next Pro,2026,,,,6.48,9,413,0,0,,,,,,,,,,,,,,,,,0,0,,,6.48,9,5,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,5.0,1,,,12,0,,121,81.8,8,53.3,5,,1,50.0,9,47.4,18,38.3,1,50.0,220,14,9,4,5,4,1,,3,18,,6,,0,10,,1,0,413,0.22,,,2.62,0.0,,26.37,81.76,1.74,53.33,1.09,,0.22,50.0,1.96,47.37,3.92,38.3,0.22,50.0,47.94,3.05,1.96,0.87,1.09,0.87,0.22,,0.65,3.92,,1.31,,0.0,2.18,,5,,1.09,,,,,,,,57350.0
1663013,Luca Moisa,Real Monarchs SLC,6606,https://www.fotmob.com/players/1663013/luca-moisa,Central Midfielder,CM,midfielders,175 cm,34,18,USA,Right,$1.6m,1368795,€1.4m,,MLS,Western,MLS Next Pro,2026,,,,6.52,6,485,0,0,,,,,,,,,,,,,,,,,1,0,,,6.46,3,3,,,,,,,,,,,,,,,,,,0.51,0.0,0.0,0.0,6.0,0,0.03,0.03,1,0,0.05,58,86.6,2,50.0,2,,,,1,100.0,6,54.5,,,91,1,2,,9,5,1,2,1,4,,2,1,0,2,2.84,0,0,177,0.0,0.02,0.02,0.51,0.0,0.03,29.49,86.57,1.02,50.0,1.02,,,,0.51,100.0,3.05,54.55,,,46.27,0.51,1.02,,4.58,2.54,0.51,1.02,0.51,2.03,,1.02,0.51,0.0,1.02,1.45,,,,,,,,,,,1570007.86
1731740,Antonio Riquelme,Real Salt Lake,6606,https://www.fotmob.com/players/1731740/antonio-riquelme,Attacking Midfielder,AM,midfielders,,38,17,USA,Right,$34.4k,30000,€30k,,MLS,Western,MLS Next Pro,2026,,,,7.03,10,720,3,0,,,,,,,,,,,,,,,,,3,0,,,7.03,10,8,,,,,,,,,,,,,,,,,,0.38,0.0,3.0,1.0,8.0,3,,,27,1,,209,84.6,14,70.0,14,2,7,26.9,9,39.1,40,44.0,4,44.4,394,15,10,17,15,10,1,3,18,26,,4,1,0,13,,3,1,720,0.38,,,3.38,0.12,,26.13,84.62,1.75,70.0,1.75,0.25,0.88,26.92,1.12,39.13,5.0,43.96,0.5,44.44,49.25,1.88,1.25,2.12,1.88,1.25,0.12,0.38,2.25,3.25,,0.5,0.12,0.0,1.62,,9,,1.12,,,,,,,,34410.0
