player_id,name,team,team_id,url,position,position_short,position_group,height_cm,shirt,age,country,preferred_foot,market_value_usd,market_value_eur,market_value,contract_end,league_name,league_group,season_league,season_year,All Competitions - Clean sheets,All Competitions - Goals conceded,All Competitions - Saved penalties,All Competitions - Rating,All Competitions - Matches,All Competitions - Minutes played,All Competitions - Yellow cards,All Competitions - Red cards,Goalkeeping - Saves,Goalkeeping - Save percentage,Goalkeeping - Goals conceded,Goalkeeping - Goals prevented,Goalkeeping - Clean sheets,Goalkeeping - Penalty saves,Goalkeeping - Penalties conceded,Goalkeeping - Penalty save %,Goalkeeping - Error led to goal,Goalkeeping - Acted as sweeper,Goalkeeping - High claims,Distribution - Accurate passes,Distribution - Pass accuracy,Distribution - Accurate long balls,Distribution - Long ball accuracy,Distribution - xA,Discipline - Yellow cards,Discipline - Red cards,Selected Competition - Conceded,Selected Competition - Clean sheets,Selected Competition - Rating,Selected Competition - Matches,Selected Competition - Started,Selected Competition - Penalties saved,Goalkeeping - Saves (per90),Goalkeeping - Save percentage (per90),Goalkeeping - Goals conceded (per90),Goalkeeping - Goals prevented (per90),Goalkeeping - Clean sheets (per90),Goalkeeping - Penalty saves (per90),Goalkeeping - Penalties conceded (per90),Goalkeeping - Penalty save % (per90),Goalkeeping - Error led to goal (per90),Goalkeeping - Acted as sweeper (per90),Goalkeeping - High claims (per90),Distribution - Accurate passes (per90),Distribution - Pass accuracy (per90),Distribution - Accurate long balls (per90),Distribution - Long ball accuracy (per90),Distribution - xA (per90),Discipline - Yellow cards (per90),Discipline - Red cards (per90),All Competitions - Goals,All Competitions - Assists,All Competitions - Started,Shooting - Goals,Shooting - xG,Shooting - xG excl. penalty,Shooting - Shots,Passing - Assists,Passing - xA,Passing - Accurate passes,Passing - Pass accuracy,Passing - Accurate long balls,Passing - Long ball accuracy,Passing - Chances created,Passing - Big chances created,Passing - Successful crosses,Passing - Cross accuracy,Possession - Dribbles,Possession - Dribbles success rate,Possession - Duels won,Possession - Duels won %,Possession - Aerials won,Possession - Aerials won %,Possession - Touches,Possession - Touches in opposition box,Possession - Dispossessed,Possession - Fouls won,Defending - Defensive actions,Defending - Tackles,Defending - Interceptions,Defending - Blocked scoring attempt,Defending - Fouls committed,Defending - Recoveries,Defending - Possession won final 3rd,Defending - Dribbled past,Defending - Clearances,Defending - Clean sheets,Defending - Goals conceded while on pitch,Defending - xG against while on pitch,Selected Competition - Goals,Selected Competition - Assists,Selected Competition - Minutes,Shooting - Goals (per90),Shooting - xG (per90),Shooting - xG excl. penalty (per90),Shooting - Shots (per90),Passing - Assists (per90),Passing - xA (per90),Passing - Accurate passes (per90),Passing - Pass accuracy (per90),Passing - Accurate long balls (per90),Passing - Long ball accuracy (per90),Passing - Chances created (per90),Passing - Big chances created (per90),Passing - Successful crosses (per90),Passing - Cross accuracy (per90),Possession - Dribbles (per90),Possession - Dribbles success rate (per90),Possession - Duels won (per90),Possession - Duels won % (per90),Possession - Aerials won (per90),Possession - Aerials won % (per90),Possession - Touches (per90),Possession - Touches in opposition box (per90),Possession - Dispossessed (per90),Possession - Fouls won (per90),Defending - Defensive actions (per90),Defending - Tackles (per90),Defending - Interceptions (per90),Defending - Blocked scoring attempt (per90),Defending - Fouls committed (per90),Defending - Recoveries (per90),Defending - Possession won final 3rd (per90),Defending - Dribbled past (per90),Defending - Clearances (per90),Defending - Clean sheets (per90),Defending - Goals conceded while on pitch (per90),Defending - xG against while on pitch (per90),Shooting - Shots on target,Shooting - Headed shots,Shooting - Shots on target (per90),Shooting - Headed shots (per90),Shooting - xGOT,Shooting - xGOT (per90),Defending - Penalties conceded,Defending - Penalties conceded (per90),Possession - Penalties awarded,Possession - Penalties awarded (per90),market_value_usd_raw
1683701,Omar Marquez,Real Monarchs SLC,6606,https://www.fotmob.com/players/1683701/omar-marquez,Central Midfielder,CM,midfielders,165 cm,40,18,Mexico,Right,$57.4k,50000,€50k,,MLS,Western,MLS Next Pro,2026,,,,6.67,10,486,3,0,,,,,,,,,,,,,,,,,3,0,,,6.67,10,5,,,,,,,,,,,,,,,,,,0.56,0.0,1.0,0.0,5.0,1,,,10,0,,183,82.8,4,26.7,5,,3,42.9,8,66.7,28,47.5,2,50.0,312,10,10,7,20,11,6,1,8,32,,8,2,0,9,,1,0,486,0.19,,,1.85,0.0,,33.89,82.81,0.74,26.67,0.93,,0.56,42.86,1.48,66.67,5.19,47.46,0.37,50.0,57.78,1.85,1.85,1.3,3.7,2.04,1.11,0.19,1.48,5.93,,1.48,0.37,0.0,1.67,,5,,0.93,,,,,,,,57350.0
1610333,Chance Cowell,Real Monarchs SLC,6606,https://www.fotmob.com/players/1610333/chance-cowell,forward,,midfielders,170 cm,44,17,USA,Right,$1.0m,898519,€898.5k,,MLS,Western,MLS Next Pro,2026,,,,6.71,4,153,0,0,,,,,,,,,,,,,,,,,0,0,,,6.71,4,2,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,2.0,0,,,1,1,,39,70.9,,,3,2,3,75.0,,,6,42.9,,,86,6,0,3,6,3,2,,1,5,,1,1,0,2,,0,1,153,0.0,,,0.59,0.59,,22.94,70.91,,,1.76,1.18,1.76,75.0,,,3.53,42.86,,,50.59,3.53,0.0,1.76,3.53,1.76,1.18,,0.59,2.94,,0.59,0.59,0.0,1.18,,,,,,,,,,,,1030601.29
1455818,Zavier Gozo,Real Salt Lake,6606,https://www.fotmob.com/players/1455818/zavier-gozo,Right Midfielder,RM,midfielders,,72,19,USA,Right,$3.8m,3284390,€3.3m,,MLS,Western,Major League Soccer,2026,,,,7.68,14,1237,4,0,,,,,,,,,,,,,,,,,4,0,,,7.68,14,14,,,,,,,,,,,,,,,,,,0.29,0.0,6.0,4.0,14.0,6,3.65,3.65,47,4,3.11,275,78.3,6,42.9,21,7,5,23.8,25,44.6,80,44.7,6,35.3,663,79,16,13,58,36,7,,20,55,8,25,15,0,19,19.12,6,4,1237,0.44,0.27,0.27,3.42,0.29,0.23,20.01,78.35,0.44,42.86,1.53,0.51,0.36,23.81,1.82,44.64,5.82,44.69,0.44,35.29,48.24,5.75,1.16,0.95,4.22,2.62,0.51,,1.46,4.0,0.58,1.82,1.09,0.0,1.38,1.39,19,3,1.38,0.22,5.10,0.37,,,,,3767195.33
1439925,Noel Caliskan,Real Salt Lake,6606,https://www.fotmob.com/players/1439925/noel-caliskan,Central Midfielder,CM,midfielders,180 cm,92,25,Germany,,$680.3k,593108,€593.1k,2029-06-30,MLS,Western,Major League Soccer,2026,,,,7.34,14,1185,3,0,,,,,,,,,,,,,,,,,3,0,,,7.34,14,13,,,,,,,,,,,,,,,,,,0.23,0.0,0.0,2.0,13.0,0,0.34,0.34,10,2,0.83,598,87.3,40,66.7,15,,3,42.9,6,100.0,56,68.3,11,73.3,867,8,8,16,79,23,15,8,8,74,5,6,33,1,19,18.03,0,2,1185,0.0,0.03,0.03,0.76,0.15,0.06,45.42,87.3,3.04,66.67,1.14,,0.23,42.86,0.46,100.0,4.25,68.29,0.84,73.33,65.85,0.61,0.61,1.22,6.0,1.75,1.14,0.61,0.61,5.62,0.38,0.46,2.51,0.08,1.44,1.37,2,1,0.15,0.08,0.07,0.01,,,,,680294.88
1092680,Morgan Guilavogui,Real Salt Lake,6606,https://www.fotmob.com/players/1092680/morgan-guilavogui,Left Winger,LW,attackers,188 cm,9,28,Guinea,Right,$2.7m,2370593,€2.4m,2029-06-30,MLS,Western,Major League Soccer,2026,,,,7.47,12,827,4,0,,,,,,,,,,,,,,,,,4,0,,,7.47,12,9,,,,,,,,,,,,,,,,,,0.44,0.0,1.0,3.0,9.0,1,4.34,4.34,30,3,2.28,348,82.9,18,72.0,15,4,1,20.0,10,71.4,60,60.6,17,58.6,588,54,7,19,32,14,5,2,16,43,11,1,11,1,14,13.02,1,3,827,0.11,0.47,0.47,3.26,0.33,0.25,37.87,82.86,1.96,72.0,1.63,0.44,0.11,20.0,1.09,71.43,6.53,60.61,1.85,58.62,63.99,5.88,0.76,2.07,3.48,1.52,0.54,0.22,1.74,4.68,1.2,0.11,1.2,0.11,1.52,1.42,13,2,1.41,0.22,4.25,0.46,,,,,2719070.17
1021841,Victor Olatunji,Real Salt Lake,6606,https://www.fotmob.com/players/1021841/victor-olatunji,Striker,ST,attackers,193 cm,17,26,Nigeria,Right,$2.0m,1736565,€1.7m,2028-06-30,MLS,Western,Major League Soccer,2026,,,,6.36,11,255,0,0,,,,,,,,,,,,,,,,,0,0,,,6.36,11,2,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,2.0,1,2.41,2.41,9,0,0.03,24,57.1,1,33.3,,,,,,,24,54.5,9,56.2,110,21,4,13,8,2,,1,8,4,2,,5,0,5,5.32,1,0,255,0.35,0.85,0.85,3.18,0.0,0.01,8.47,57.14,0.35,33.33,,,,,,,8.47,54.55,3.18,56.25,38.82,7.41,1.41,4.59,2.82,0.71,,0.35,2.82,1.41,0.71,,1.76,0.0,1.76,1.88,6,2,2.12,0.71,1.95,0.69,,,,,1991840.06
1610777,Ariath Piol,Real Salt Lake,6606,https://www.fotmob.com/players/1610777/ariath-piol,Striker,ST,attackers,176 cm,19,21,Australia,Right,$993.4k,866061,€866.1k,2027-12-31,MLS,Western,Major League Soccer,2026,,,,6.94,2,166,0,0,,,,,,,,,,,,,,,,,0,0,,,6.94,2,2,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,2.0,1,0.96,0.96,3,0,0.02,18,64.3,,,,,,,1,100.0,8,47.1,7,58.3,49,6,3,,6,,1,,1,3,1,,5,0,2,2.48,1,0,166,0.54,0.52,0.52,1.63,0.0,0.01,9.76,64.29,,,,,,,0.54,100.0,4.34,47.06,3.8,58.33,26.57,3.25,1.63,,3.25,,0.54,,0.54,1.63,0.54,,2.71,0.0,1.08,1.34,2,1,1.08,0.54,1.18,0.64,,,,,993371.97
1907793,Sergi Solans,Real Salt Lake,6606,https://www.fotmob.com/players/1907793/sergi-solans,Striker,ST,attackers,,22,23,Spain,Right,$451.6k,393755,€393.8k,,MLS,Western,Major League Soccer,2026,,,,7.14,14,877,0,0,,,,,,,,,,,,,,,,,0,0,,,7.14,14,10,,,,,,,,,,,,,,,,,,0.0,0.0,6.0,3.0,10.0,6,6.75,6.75,32,3,0.96,114,73.1,3,60.0,16,5,,,10,38.5,52,44.8,19,55.9,331,65,16,15,18,9,3,1,16,23,10,3,5,0,13,12.13,6,3,877,0.62,0.69,0.69,3.28,0.31,0.1,11.7,73.08,0.31,60.0,1.64,0.51,,,1.03,38.46,5.34,44.83,1.95,55.88,33.97,6.67,1.64,1.54,1.85,0.92,0.31,0.1,1.64,2.36,1.03,0.31,0.51,0.0,1.33,1.24,15,13,1.54,1.33,5.66,0.58,,,,,451636.98
1735519,Jesús Barea,Real Monarchs SLC,6606,https://www.fotmob.com/players/1735519/jes-s-barea,Striker,ST,attackers,175 cm,36,24,Spain,Right,$465.3k,405647,€405.6k,,MLS,Western,MLS Next Pro,2026,,,,7.61,2,180,0,0,,,,,,,,,,,,,,,,,0,0,,,,3,0,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,465277.11
1643328,Aiden Hezarkhani,Real Salt Lake,6606,https://www.fotmob.com/players/1643328/aiden-hezarkhani,Right Winger,RW,attackers,,39,18,USA,Right,$1.8m,1584457,€1.6m,,MLS,Western,Major League Soccer,2026,,,,6.58,13,559,1,0,,,,,,,,,,,,,,,,,1,0,,,6.58,13,8,,,,,,,,,,,,,,,,,,0.16,0.0,2.0,0.0,8.0,2,0.62,0.62,12,0,0.47,110,76.9,5,62.5,6,1,3,13.0,8,36.4,34,40.5,5,31.2,297,25,15,15,16,7,4,1,8,16,3,2,4,0,8,8.73,2,0,559,0.32,0.1,0.1,1.93,0.0,0.08,17.71,76.92,0.81,62.5,0.97,0.16,0.48,13.04,1.29,36.36,5.47,40.48,0.81,31.25,47.82,4.03,2.42,2.42,2.58,1.13,0.64,0.16,1.29,2.58,0.48,0.32,0.64,0.0,1.29,1.41,5,1,0.81,0.16,1.27,0.2,,,,,1817372.18
1781683,Lineker Rodrigues,Real Monarchs SLC,6606,https://www.fotmob.com/players/1781683/lineker-rodrigues-dos-santos,Striker,ST,attackers,182 cm,70,24,Brazil,Right,$22.9k,20000,€20k,,MLS,Western,MLS Next Pro,2026,,,,7.12,12,999,2,0,,,,,,,,,,,,,,,,,2,0,,,5.94,1,0,,,,,,,,,,,,,,,,,,,,5.0,2.0,11.0,5.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22940.0
