player_id,name,team,team_id,url,position,position_short,position_group,height_cm,shirt,age,country,preferred_foot,market_value_usd,market_value_eur,market_value,contract_end,league_name,league_group,season_league,season_year,All Competitions - Clean sheets,All Competitions - Goals conceded,All Competitions - Saved penalties,All Competitions - Rating,All Competitions - Matches,All Competitions - Minutes played,All Competitions - Yellow cards,All Competitions - Red cards,Goalkeeping - Saves,Goalkeeping - Save percentage,Goalkeeping - Goals conceded,Goalkeeping - Goals prevented,Goalkeeping - Clean sheets,Goalkeeping - Penalty saves,Goalkeeping - Penalties conceded,Goalkeeping - Penalty save %,Goalkeeping - Error led to goal,Goalkeeping - Acted as sweeper,Goalkeeping - High claims,Distribution - Accurate passes,Distribution - Pass accuracy,Distribution - Accurate long balls,Distribution - Long ball accuracy,Distribution - xA,Discipline - Yellow cards,Discipline - Red cards,Selected Competition - Conceded,Selected Competition - Clean sheets,Selected Competition - Rating,Selected Competition - Matches,Selected Competition - Started,Selected Competition - Penalties saved,Goalkeeping - Saves (per90),Goalkeeping - Save percentage (per90),Goalkeeping - Goals conceded (per90),Goalkeeping - Goals prevented (per90),Goalkeeping - Clean sheets (per90),Goalkeeping - Penalty saves (per90),Goalkeeping - Penalties conceded (per90),Goalkeeping - Penalty save % (per90),Goalkeeping - Error led to goal (per90),Goalkeeping - Acted as sweeper (per90),Goalkeeping - High claims (per90),Distribution - Accurate passes (per90),Distribution - Pass accuracy (per90),Distribution - Accurate long balls (per90),Distribution - Long ball accuracy (per90),Distribution - xA (per90),Discipline - Yellow cards (per90),Discipline - Red cards (per90),All Competitions - Goals,All Competitions - Assists,All Competitions - Started,Selected Competition - Goals,Selected Competition - Assists,Selected Competition - Minutes,Shooting - Goals,Shooting - xG,Shooting - xGOT,Shooting - xG excl. penalty,Shooting - Shots,Shooting - Shots on target,Shooting - Headed shots,Passing - Assists,Passing - xA,Passing - Accurate passes,Passing - Pass accuracy,Passing - Accurate long balls,Passing - Long ball accuracy,Passing - Chances created,Possession - Duels won,Possession - Duels won %,Possession - Aerials won,Possession - Aerials won %,Possession - Touches,Possession - Touches in opposition box,Possession - Dispossessed,Possession - Fouls won,Defending - Defensive actions,Defending - Tackles,Defending - Interceptions,Defending - Blocked scoring attempt,Defending - Fouls committed,Defending - Recoveries,Defending - Clearances,Defending - Clean sheets,Defending - Goals conceded while on pitch,Defending - xG against while on pitch,Shooting - Goals (per90),Shooting - xG (per90),Shooting - xGOT (per90),Shooting - xG excl. penalty (per90),Shooting - Shots (per90),Shooting - Shots on target (per90),Shooting - Headed shots (per90),Passing - Assists (per90),Passing - xA (per90),Passing - Accurate passes (per90),Passing - Pass accuracy (per90),Passing - Accurate long balls (per90),Passing - Long ball accuracy (per90),Passing - Chances created (per90),Possession - Duels won (per90),Possession - Duels won % (per90),Possession - Aerials won (per90),Possession - Aerials won % (per90),Possession - Touches (per90),Possession - Touches in opposition box (per90),Possession - Dispossessed (per90),Possession - Fouls won (per90),Defending - Defensive actions (per90),Defending - Tackles (per90),Defending - Interceptions (per90),Defending - Blocked scoring attempt (per90),Defending - Fouls committed (per90),Defending - Recoveries (per90),Defending - Clearances (per90),Defending - Clean sheets (per90),Defending - Goals conceded while on pitch (per90),Defending - xG against while on pitch (per90),Possession - Dribbles,Possession - Dribbles success rate,Defending - Dribbled past,Possession - Dribbles (per90),Possession - Dribbles success rate (per90),Defending - Dribbled past (per90),Passing - Successful crosses,Passing - Cross accuracy,Passing - Successful crosses (per90),Passing - Cross accuracy (per90),Passing - Big chances created,Defending - Possession won final 3rd,Passing - Big chances created (per90),Defending - Possession won final 3rd (per90),Defending - Penalties conceded,Defending - Penalties conceded (per90),market_value_usd_raw
830601,Djordje Mihailovic,Toronto FC,56453,https://www.fotmob.com/players/830601/djordje-mihailovic,Attacking Midfielder,AM,midfielders,177 cm,10,27,USA,Right,$7.0m,6145548,€6.1m,2028-12-31,MLS,Eastern,Major League Soccer,2026,,,,7.61,5,401,0,0,,,,,,,,,,,,,,,,,0,0,,,7.61,5,4,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,2.0,4.0,1,2,401,1,0.64,0.84,0.64,7,4,,2,1.39,86,74.8,2,50.0,12,16,64.0,1,50.0,192,7,2,4,13,6,3,1,1,13,3,1,6,7.44,0.22,0.14,0.19,0.14,1.57,0.9,,0.45,0.31,19.3,74.78,0.45,50.0,2.69,3.59,64.0,0.22,50.0,43.09,1.57,0.45,0.9,2.92,1.35,0.67,0.22,0.22,2.92,0.67,0.22,1.35,1.67,5,71.4,3,1.12,71.43,0.67,9,29.0,2.02,29.03,1,2,0.22,0.45,,,7048943.56
1364471,Alonso Coello,Toronto FC,56453,https://www.fotmob.com/players/1364471/alonso-coello,Central Midfielder,CM,midfielders,185 cm,14,26,Spain,,$751.2k,654938,€654.9k,2027-12-31,MLS,Eastern,Major League Soccer,2026,,,,7.19,14,1029,3,0,,,,,,,,,,,,,,,,,3,0,,,7.19,14,12,,,,,,,,,,,,,,,,,,0.26,0.0,0.0,3.0,12.0,0,3,1029,0,0.24,0.33,0.24,6,2,,3,2.46,564,83.9,43,50.0,30,58,58.6,14,70.0,909,6,7,15,74,24,26,6,20,66,18,0,28,15.58,0.0,0.02,0.03,0.02,0.52,0.17,,0.26,0.22,49.33,83.93,3.76,50.0,2.62,5.07,58.59,1.22,70.0,79.5,0.52,0.61,1.31,6.47,2.1,2.27,0.52,1.75,5.77,1.57,0.0,2.45,1.36,5,62.5,6,0.44,62.5,0.52,33,43.4,2.89,43.42,4,4,0.35,0.35,,,751213.89
432605,Jonathan Osorio,Toronto FC,56453,https://www.fotmob.com/players/432605/jonathan-osorio,Defensive Midfielder,DM,midfielders,175 cm,21,34,Canada,Both,$582.3k,507678,€507.7k,2026-12-31,MLS,Eastern,Major League Soccer,2026,,,,7.04,14,1260,5,0,,,,,,,,,,,,,,,,,5,0,,,7.04,14,14,,,,,,,,,,,,,,,,,,0.36,0.0,0.0,3.0,14.0,0,3,1260,0,0.55,,0.55,6,,1,3,1.41,693,90.6,16,69.6,12,53,52.5,7,70.0,944,22,10,20,59,20,17,4,16,98,18,1,29,18.82,0.0,0.04,,0.04,0.43,,0.07,0.21,0.1,49.5,90.59,1.14,69.57,0.86,3.79,52.48,0.5,70.0,67.43,1.57,0.71,1.43,4.21,1.43,1.21,0.29,1.14,7.0,1.29,0.07,2.07,1.34,7,50.0,13,0.5,50.0,0.93,1,10.0,0.07,10.0,2,15,0.14,1.07,1,0.07,582306.67
1113737,Theo Corbeanu,Toronto FC,56453,https://www.fotmob.com/players/1113737/theo-corbeanu,Right Winger,RW,attackers,190 cm,7,24,Canada,Left,$1.6m,1375528,€1.4m,,MLS,Eastern,Major League Soccer,2026,,,,5.89,1,16,1,0,,,,,,,,,,,,,,,,,1,0,,,5.89,1,0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0,0,16,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1577730.62
848011,Josh Sargent,Toronto FC,56453,https://www.fotmob.com/players/848011/josh-sargent,Striker,ST,attackers,185 cm,9,26,USA,Right,$22.3m,19421474,€19.4m,2031-06-30,MLS,Eastern,Major League Soccer,2026,,,,7.12,8,557,0,0,,,,,,,,,,,,,,,,,0,0,,,7.12,8,7,,,,,,,,,,,,,,,,,,0.0,0.0,3.0,1.0,7.0,3,1,557,3,3.68,2.58,3.68,21,10,4,1,0.57,85,71.4,3,60.0,6,35,49.3,16,53.3,218,37,11,9,14,4,,,5,17,10,0,14,5.91,0.48,0.59,0.42,0.59,3.39,1.62,0.65,0.16,0.09,13.73,71.43,0.48,60.0,0.97,5.66,49.3,2.59,53.33,35.22,5.98,1.78,1.45,2.26,0.65,,,0.81,2.75,1.62,0.0,2.26,0.96,6,54.5,2,0.97,54.55,0.32,,,,,3,3,0.48,0.48,,,22276430.68
643482,Derrick Etienne,Toronto FC,56453,https://www.fotmob.com/players/643482/derrick-etienne,Striker,ST,attackers,178 cm,11,29,Haiti,Right,$363.9k,317306,€317.3k,2026-12-31,MLS,Eastern,Major League Soccer,2026,,,,6.54,11,647,0,0,,,,,,,,,,,,,,,,,0,0,,,6.54,11,6,,,,,,,,,,,,,,,,,,0.0,0.0,2.0,0.0,6.0,2,0,647,2,1.18,1.85,1.18,11,7,,0,0.48,110,77.5,1,14.3,7,22,34.4,2,12.5,256,31,7,9,14,7,4,,9,29,3,0,17,12.10,0.28,0.16,0.26,0.16,1.53,0.97,,0.0,0.07,15.3,77.46,0.14,14.29,0.97,3.06,34.38,0.28,12.5,35.61,4.31,0.97,1.25,1.95,0.97,0.56,,1.25,4.03,0.42,0.0,2.36,1.68,4,30.8,3,0.56,30.77,0.42,,,,,1,6,0.14,0.83,,,363949.98
1579304,Emilio Aristizábal,Toronto FC,56453,https://www.fotmob.com/players/1579304/emilio-aristiz-bal,Striker,ST,attackers,187 cm,17,20,Colombia,Right,$1.6m,1379273,€1.4m,,MLS,Eastern,Major League Soccer,2026,,,,6.65,13,447,1,0,,,,,,,,,,,,,,,,,1,0,,,6.65,13,5,,,,,,,,,,,,,,,,,,0.2,0.0,3.0,0.0,5.0,3,0,447,3,1.39,2.18,1.39,16,7,3,0,0.40,89,77.4,1,100.0,5,29,36.7,16,40.0,214,31,13,5,14,3,1,2,7,13,8,0,10,7.07,0.6,0.28,0.44,0.28,3.22,1.41,0.6,0.0,0.08,17.92,77.39,0.2,100.0,1.01,5.84,36.71,3.22,40.0,43.09,6.24,2.62,1.01,2.82,0.6,0.2,0.4,1.41,2.62,1.61,0.0,2.01,1.42,6,54.5,2,1.21,54.55,0.4,,,,,2,4,0.4,0.81,,,1582026.13
655524,Dániel Sallói,Toronto FC,56453,https://www.fotmob.com/players/655524/d-niel-sall-i,Left Winger,LW,attackers,185 cm,20,29,Hungary,Both,$1.5m,1301927,€1.3m,2026-12-31,MLS,Eastern,Major League Soccer,2026,,,,7.07,14,1199,1,0,,,,,,,,,,,,,,,,,1,0,,,7.07,14,13,,,,,,,,,,,,,,,,,,0.08,0.0,4.0,3.0,13.0,4,3,1199,4,3.36,3.32,3.36,29,14,1,3,1.61,233,74.0,15,62.5,14,38,42.7,6,30.0,513,56,16,16,25,5,10,,9,34,10,1,27,18.10,0.3,0.25,0.25,0.25,2.18,1.05,0.08,0.23,0.12,17.49,73.97,1.13,62.5,1.05,2.85,42.7,0.45,30.0,38.51,4.2,1.2,1.2,1.88,0.38,0.75,,0.68,2.55,0.75,0.08,2.03,1.36,11,50.0,3,0.83,50.0,0.23,7,31.8,0.53,31.82,2,8,0.15,0.6,,,1493310.27
1338703,Deandre Kerr,Toronto FC,56453,https://www.fotmob.com/players/1338703/deandre-kerr,Striker,ST,attackers,180 cm,29,23,Canada,Right,$884.1k,770826,€770.8k,2026-12-31,MLS,Eastern,Major League Soccer,2026,,,,6.29,7,330,0,0,,,,,,,,,,,,,,,,,0,0,,,6.29,7,4,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,4.0,0,0,330,0,0.72,0.05,0.72,9,1,4,0,0.22,36,72.0,1,100.0,4,30,46.2,15,46.9,127,14,8,9,11,6,1,,6,5,4,0,7,3.68,0.0,0.2,0.01,0.2,2.45,0.27,1.09,0.0,0.06,9.82,72.0,0.27,100.0,1.09,8.18,46.15,4.09,46.88,34.64,3.82,2.18,2.45,3.0,1.64,0.27,,1.64,1.36,1.09,0.0,1.91,1.0,,,2,,,0.55,4,50.0,1.09,50.0,,1,,0.27,,,884137.42
1778338,Malik Henry,Toronto FC,56453,https://www.fotmob.com/players/1778338/malik-henry,Right Winger,RW,attackers,163 cm,78,23,Canada,,$219.6k,191472,€191.5k,2026-12-31,MLS,Eastern,Major League Soccer,2026,,,,6.34,11,486,3,0,,,,,,,,,,,,,,,,,3,0,,,6.34,11,5,,,,,,,,,,,,,,,,,,0.56,0.0,0.0,0.0,5.0,0,0,486,0,0.46,0.41,0.46,5,1,2,0,0.62,86,73.5,1,33.3,3,27,43.5,4,30.8,230,27,13,4,16,6,6,,6,12,4,0,15,7.31,0.0,0.09,0.08,0.09,0.93,0.19,0.37,0.0,0.11,15.93,73.5,0.19,33.33,0.56,5.0,43.55,0.74,30.77,42.59,5.0,2.41,0.74,2.96,1.11,1.11,,1.11,2.22,0.74,0.0,2.78,1.35,13,59.1,,2.41,59.09,,1,5.6,0.19,5.56,1,,0.19,,,,219618.38
1276785,Jules-Anthony Vilsaint,Toronto FC,56453,https://www.fotmob.com/players/1276785/jules-anthony-vilsaint,forward,,attackers,193 cm,99,23,Canada,,$294.6k,256870,€256.9k,2026-12-31,MLS,Eastern,Major League Soccer,2026,,,,6.14,2,23,0,0,,,,,,,,,,,,,,,,,0,0,,,6.14,2,0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0,0,23,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294629.89
