player_id,name,team,team_id,url,position,position_short,position_group,height_cm,shirt,age,country,preferred_foot,market_value_usd,market_value_eur,market_value,contract_end,league_name,league_group,season_league,season_year,All Competitions - Clean sheets,All Competitions - Goals conceded,All Competitions - Rating,All Competitions - Matches,All Competitions - Minutes played,All Competitions - Yellow cards,All Competitions - Red cards,Goalkeeping - Saves,Goalkeeping - Save percentage,Goalkeeping - Goals conceded,Goalkeeping - Goals prevented,Goalkeeping - Clean sheets,Goalkeeping - Error led to goal,Goalkeeping - Acted as sweeper,Goalkeeping - High claims,Distribution - Accurate passes,Distribution - Pass accuracy,Distribution - Accurate long balls,Distribution - Long ball accuracy,Distribution - Chances created,Distribution - xA,Discipline - Yellow cards,Discipline - Red cards,Selected Competition - Conceded,Selected Competition - Clean sheets,Selected Competition - Rating,Selected Competition - Matches,Selected Competition - Started,Selected Competition - Penalties saved,Goalkeeping - Saves (per90),Goalkeeping - Save percentage (per90),Goalkeeping - Goals conceded (per90),Goalkeeping - Goals prevented (per90),Goalkeeping - Clean sheets (per90),Goalkeeping - Error led to goal (per90),Goalkeeping - Acted as sweeper (per90),Goalkeeping - High claims (per90),Distribution - Accurate passes (per90),Distribution - Pass accuracy (per90),Distribution - Accurate long balls (per90),Distribution - Long ball accuracy (per90),Distribution - Chances created (per90),Distribution - xA (per90),Discipline - Yellow cards (per90),Discipline - Red cards (per90),Goalkeeping - Penalty saves,Goalkeeping - Penalties conceded,Goalkeeping - Penalty save %,Goalkeeping - Penalty saves (per90),Goalkeeping - Penalties conceded (per90),Goalkeeping - Penalty save % (per90),All Competitions - Goals,All Competitions - Assists,All Competitions - Started,Shooting - Goals,Shooting - Shots,Passing - Assists,Passing - Accurate passes,Passing - Pass accuracy,Passing - Accurate long balls,Passing - Long ball accuracy,Passing - Chances created,Passing - Successful crosses,Passing - Cross accuracy,Possession - Dribbles,Possession - Dribbles success rate,Possession - Duels won,Possession - Duels won %,Possession - Aerials won,Possession - Aerials won %,Possession - Touches,Possession - Dispossessed,Defending - Defensive actions,Defending - Tackles,Defending - Interceptions,Defending - Blocked scoring attempt,Defending - Fouls committed,Defending - Recoveries,Defending - Dribbled past,Defending - Clearances,Defending - Clean sheets,Defending - Goals conceded while on pitch,Selected Competition - Goals,Selected Competition - Assists,Selected Competition - Minutes,Shooting - Goals (per90),Shooting - Shots (per90),Passing - Assists (per90),Passing - Accurate passes (per90),Passing - Pass accuracy (per90),Passing - Accurate long balls (per90),Passing - Long ball accuracy (per90),Passing - Chances created (per90),Passing - Successful crosses (per90),Passing - Cross accuracy (per90),Possession - Dribbles (per90),Possession - Dribbles success rate (per90),Possession - Duels won (per90),Possession - Duels won % (per90),Possession - Aerials won (per90),Possession - Aerials won % (per90),Possession - Touches (per90),Possession - Dispossessed (per90),Defending - Defensive actions (per90),Defending - Tackles (per90),Defending - Interceptions (per90),Defending - Blocked scoring attempt (per90),Defending - Fouls committed (per90),Defending - Recoveries (per90),Defending - Dribbled past (per90),Defending - Clearances (per90),Defending - Clean sheets (per90),Defending - Goals conceded while on pitch (per90),Shooting - xG,Shooting - xG excl. penalty,Shooting - Headed shots,Passing - xA,Possession - Touches in opposition box,Possession - Fouls won,Defending - Possession won final 3rd,Defending - xG against while on pitch,Shooting - xG (per90),Shooting - xG excl. penalty (per90),Shooting - Headed shots (per90),Passing - xA (per90),Possession - Touches in opposition box (per90),Possession - Fouls won (per90),Defending - Possession won final 3rd (per90),Defending - xG against while on pitch (per90),Shooting - xGOT,Shooting - Shots on target,Shooting - xGOT (per90),Shooting - Shots on target (per90),Passing - Big chances created,Passing - Big chances created (per90),Shooting - Penalty goals,Possession - Penalties awarded,Shooting - Penalty goals (per90),Possession - Penalties awarded (per90),market_value_usd_raw
1474341,Francis Westfield,Philadelphia Union,191716,https://www.fotmob.com/players/1474341/francis-westfield,Right Back,RB,defenders,,39,20,USA,Right,$2.3m,1993287,€2m,2028-12-31,MLS,Eastern,Major League Soccer,2026,,,7.1,11,893,1,0,,,,,,,,,,,,,,,1,0,,,7.10,11,11,,,,,,,,,,,,,,,,0.1,0.0,,,,,,,0.0,2.0,11.0,0,13,2,205,63.5,21,39.6,15,16,26.7,2,25.0,75,70.8,29,78.4,645,4,56,22,17,2,7,50,7,15,2,18,0,2,893,0.0,1.31,0.2,20.66,63.47,2.12,39.62,1.51,1.61,26.67,0.2,25.0,7.56,70.75,2.92,78.38,65.01,0.4,5.64,2.22,1.71,0.2,0.71,5.04,0.71,1.51,0.2,1.81,0.69,0.69,2,1.62,28,22,4,16.56,0.07,0.07,0.2,0.16,2.82,2.22,0.4,1.67,0.12,2,0.01,0.2,5,0.5,,,,,2286300.19
1658739,Finn Sundstrom,Philadelphia Union II,191716,https://www.fotmob.com/players/1658739/finn-sundstrom,Center Back,CB,defenders,183 cm,66,19,USA,,$401.4k,350000,€350k,,MLS,Eastern,MLS Next Pro,2026,,,6.76,11,871,3,1,,,,,,,,,,,,,,,0,0,,,6.82,2,1,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,1.0,0.0,10.0,0,0,0,7,53.8,,,,,,,,7,70.0,2,66.7,29,0,6,5,,,1,4,1,1,0,2,0,0,52,0.0,0.0,0.0,12.12,53.85,,,,,,,,12.12,70.0,3.46,66.67,50.19,0.0,10.38,8.65,,,1.73,6.92,1.73,1.73,0.0,3.46,,,,0.00,,,,1.38,,,,0.0,,,,2.39,,,,,,,,,,,401450.0
1257540,Jovan Lukic,Philadelphia Union,191716,https://www.fotmob.com/players/1257540/jovan-lukic,Central Midfielder,CM,midfielders,180 cm,4,24,Serbia,Left,$1.6m,1387243,€1.4m,2026-12-31,MLS,Eastern,Major League Soccer,2026,,,6.68,14,1041,4,0,,,,,,,,,,,,,,,4,0,,,6.68,14,12,,,,,,,,,,,,,,,,0.35,0.0,,,,,,,0.0,1.0,12.0,0,8,1,423,80.7,27,61.4,16,4,28.6,3,50.0,50,39.7,13,50.0,702,17,62,30,10,4,21,59,22,18,2,23,0,1,1041,0.0,0.69,0.09,36.57,80.73,2.33,61.36,1.38,0.35,28.57,0.26,50.0,4.32,39.68,1.12,50.0,60.69,1.47,5.36,2.59,0.86,0.35,1.82,5.1,1.9,1.56,0.17,1.99,0.50,0.50,,0.91,7,4,3,18.88,0.04,0.04,,0.08,0.61,0.35,0.26,1.63,,,,,2,0.17,,,,,1591167.72
1630736,Cavan Sullivan,Philadelphia Union II,191716,https://www.fotmob.com/players/1630736/cavan-sullivan,Right Midfielder,RM,midfielders,170 cm,6,16,USA,,$8.8m,7669910,€7.7m,,MLS,Eastern,MLS Next Pro,2025,,,7.8,14,973,0,0,,,,,,,,,,,,,,,1,0,,,6.67,13,6,,,,,,,,,,,,,,,,0.16,0.0,,,,,,,6.0,5.0,13.0,1,14,1,116,67.1,6,30.0,12,10,28.6,12,50.0,33,41.8,4,36.4,315,5,20,9,4,,14,24,11,7,0,15,1,1,549,0.16,2.3,0.16,19.02,67.05,0.98,30.0,1.97,1.64,28.57,1.97,50.0,5.41,41.77,0.66,36.36,51.64,0.82,3.28,1.48,0.66,,2.3,3.93,1.8,1.15,0.0,2.46,1.14,1.14,4,1.53,24,8,5,10.56,0.19,0.19,0.66,0.25,3.93,1.31,0.82,1.73,1.34,7,0.22,1.15,4,0.66,,,,,8797386.77
919208,Jesús Bueno,Philadelphia Union,191716,https://www.fotmob.com/players/919208/jes-s-bueno,Central Midfielder,CM,midfielders,178 cm,8,27,Venezuela,Right,$255.9k,223124,€223.1k,2026-12-31,MLS,Eastern,Major League Soccer,2026,,,6.82,9,467,1,0,,,,,,,,,,,,,,,1,0,,,6.82,9,6,,,,,,,,,,,,,,,,0.19,0.0,,,,,,,1.0,0.0,6.0,1,10,0,178,80.9,11,45.8,2,2,22.2,4,57.1,32,50.8,3,33.3,328,7,31,12,9,1,8,26,7,9,0,9,1,0,467,0.19,1.93,0.0,34.3,80.91,2.12,45.83,0.39,0.39,22.22,0.77,57.14,6.17,50.79,0.58,33.33,63.21,1.35,5.97,2.31,1.73,0.19,1.54,5.01,1.35,1.73,0.0,1.73,0.60,0.60,,0.32,9,13,,6.76,0.12,0.12,,0.06,1.73,2.51,,1.3,1.17,5,0.23,0.96,,,,,,,255923.23
1136311,Milan Iloski,Philadelphia Union,191716,https://www.fotmob.com/players/1136311/milan-iloski,Striker,ST,midfielders,177 cm,10,26,USA,Right,$2.1m,1795389,€1.8m,2027-12-31,MLS,Eastern,Major League Soccer,2026,,,7.08,15,1208,1,0,,,,,,,,,,,,,,,1,0,,,7.08,15,15,,,,,,,,,,,,,,,,0.07,0.0,,,,,,,7.0,1.0,15.0,7,51,1,236,68.6,13,33.3,25,30,34.5,6,33.3,40,41.7,12,46.2,608,8,16,6,6,,16,34,8,4,2,25,7,1,1208,0.52,3.8,0.07,17.58,68.6,0.97,33.33,1.86,2.24,34.48,0.45,33.33,2.98,41.67,0.89,46.15,45.3,0.6,1.19,0.45,0.45,,1.19,2.53,0.6,0.3,0.15,1.86,5.99,3.62,3,2.48,54,17,9,21.20,0.45,0.27,0.22,0.18,4.02,1.27,0.67,1.58,6.90,18,0.51,1.34,2,0.15,2,1,0.15,0.07,2059311.18
169217,Alejandro Bedoya,Philadelphia Union,191716,https://www.fotmob.com/players/169217/alejandro-bedoya,Right Midfielder,RM,midfielders,178 cm,11,39,USA,Right,$57.4k,50000,€50k,2026-12-31,MLS,Eastern,Major League Soccer,2026,,,6.43,8,197,1,0,,,,,,,,,,,,,,,1,0,,,6.43,8,1,,,,,,,,,,,,,,,,0.46,0.0,,,,,,,0.0,2.0,1.0,0,4,2,43,62.3,,,6,1,33.3,1,50.0,22,51.2,14,51.9,98,0,7,6,1,,6,4,1,,0,7,0,2,197,0.0,1.83,0.91,19.64,62.32,,,2.74,0.46,33.33,0.46,50.0,10.05,51.16,6.4,51.85,44.77,0.0,3.2,2.74,0.46,,2.74,1.83,0.46,,0.0,3.2,0.34,0.34,4,0.81,20,1,3,5.02,0.16,0.16,1.83,0.37,9.14,0.46,1.37,2.29,1.10,2,0.5,0.91,2,0.91,,,,,57350.0
1059451,Jeremy Rafanello,Philadelphia Union,191716,https://www.fotmob.com/players/1059451/jeremy-rafanello,Central Midfielder,CM,midfielders,183 cm,14,26,USA,,$141.9k,123703,€123.7k,2026-12-31,MLS,Eastern,Major League Soccer,2026,,,6.32,4,203,1,0,,,,,,,,,,,,,,,1,0,,,6.32,4,2,,,,,,,,,,,,,,,,0.44,0.0,,,,,,,0.0,0.0,2.0,0,3,0,93,81.6,4,44.4,5,2,66.7,,,8,40.0,3,75.0,143,4,5,2,1,,2,9,4,2,0,8,0,0,203,0.0,1.33,0.0,41.23,81.58,1.77,44.44,2.22,0.89,66.67,,,3.55,40.0,1.33,75.0,63.4,1.77,2.22,0.89,0.44,,0.89,3.99,1.77,0.89,0.0,3.55,0.05,0.05,,0.53,1,3,1,6.09,0.02,0.02,,0.23,0.44,1.33,0.44,2.7,0.03,1,0.01,0.44,,,,,,,141887.34
1338670,Ben Bender,Philadelphia Union,191716,https://www.fotmob.com/players/1338670/ben-bender,Left Back,LB,midfielders,182 cm,16,25,USA,,$233.9k,203962,€204k,,MLS,Eastern,Major League Soccer,2026,,,6.61,8,433,1,0,,,,,,,,,,,,,,,1,0,,,6.61,8,4,,,,,,,,,,,,,,,,0.21,0.0,,,,,,,1.0,0.0,4.0,1,6,0,135,75.0,7,25.0,9,5,29.4,3,60.0,28,70.0,5,71.4,315,4,37,13,10,2,4,31,1,12,0,13,1,0,433,0.21,1.25,0.0,28.06,75.0,1.45,25.0,1.87,1.04,29.41,0.62,60.0,5.82,70.0,1.04,71.43,65.47,0.83,7.69,2.7,2.08,0.42,0.83,6.44,0.21,2.49,0.0,2.7,0.27,0.27,,0.64,7,7,3,11.37,0.06,0.06,,0.13,1.45,1.45,0.62,2.36,0.12,2,0.02,0.42,,,,,,,233944.41
1101144,Indiana Vassilev,Philadelphia Union,191716,https://www.fotmob.com/players/1101144/indiana-vassilev,Left Midfielder,LM,midfielders,175 cm,19,25,USA,Left,$2.1m,1815617,€1.8m,2028-12-31,MLS,Eastern,Major League Soccer,2026,,,6.5,14,958,1,0,,,,,,,,,,,,,,,1,0,,,6.50,14,12,,,,,,,,,,,,,,,,0.09,0.0,,,,,,,1.0,0.0,12.0,1,11,0,229,80.1,3,23.1,11,9,26.5,10,50.0,38,38.0,6,35.3,449,17,16,12,3,,9,45,17,1,0,13,1,0,958,0.09,1.03,0.0,21.51,80.07,0.28,23.08,1.03,0.85,26.47,0.94,50.0,3.57,38.0,0.56,35.29,42.18,1.6,1.5,1.13,0.28,,0.85,4.23,1.6,0.09,0.0,1.22,1.48,0.69,,1.35,21,10,10,11.79,0.14,0.06,,0.13,1.97,0.94,0.94,1.11,1.89,4,0.18,0.38,2,0.19,1,,0.09,,2082512.7
