player_id,name,team,team_id,url,position,position_short,position_group,height_cm,shirt,age,country,preferred_foot,market_value_usd,market_value_eur,market_value,contract_end,league_name,league_group,season_league,season_year,All Competitions - Clean sheets,All Competitions - Goals conceded,All Competitions - Saved penalties,All Competitions - Rating,All Competitions - Matches,All Competitions - Minutes played,All Competitions - Yellow cards,All Competitions - Red cards,Goalkeeping - Saves,Goalkeeping - Save percentage,Goalkeeping - Goals conceded,Goalkeeping - Goals prevented,Goalkeeping - Clean sheets,Goalkeeping - Penalty saves,Goalkeeping - Penalties conceded,Goalkeeping - Penalty save %,Goalkeeping - Error led to goal,Goalkeeping - Acted as sweeper,Goalkeeping - High claims,Distribution - Accurate passes,Distribution - Pass accuracy,Distribution - Accurate long balls,Distribution - Long ball accuracy,Distribution - xA,Discipline - Yellow cards,Discipline - Red cards,Selected Competition - Conceded,Selected Competition - Clean sheets,Selected Competition - Rating,Selected Competition - Matches,Selected Competition - Started,Selected Competition - Penalties saved,Goalkeeping - Saves (per90),Goalkeeping - Save percentage (per90),Goalkeeping - Goals conceded (per90),Goalkeeping - Goals prevented (per90),Goalkeeping - Clean sheets (per90),Goalkeeping - Penalty saves (per90),Goalkeeping - Penalties conceded (per90),Goalkeeping - Penalty save % (per90),Goalkeeping - Error led to goal (per90),Goalkeeping - Acted as sweeper (per90),Goalkeeping - High claims (per90),Distribution - Accurate passes (per90),Distribution - Pass accuracy (per90),Distribution - Accurate long balls (per90),Distribution - Long ball accuracy (per90),Distribution - xA (per90),Discipline - Yellow cards (per90),Discipline - Red cards (per90),Distribution - Chances created,Distribution - Chances created (per90),All Competitions - Goals,All Competitions - Assists,All Competitions - Started,Shooting - Goals,Shooting - xG,Shooting - xGOT,Shooting - xG excl. penalty,Shooting - Shots,Shooting - Shots on target,Passing - Assists,Passing - xA,Passing - Accurate passes,Passing - Pass accuracy,Passing - Accurate long balls,Passing - Long ball accuracy,Passing - Chances created,Passing - Big chances created,Passing - Successful crosses,Passing - Cross accuracy,Possession - Dribbles,Possession - Dribbles success rate,Possession - Duels won,Possession - Duels won %,Possession - Aerials won,Possession - Aerials won %,Possession - Touches,Possession - Touches in opposition box,Possession - Dispossessed,Possession - Fouls won,Defending - Defensive actions,Defending - Tackles,Defending - Interceptions,Defending - Blocked scoring attempt,Defending - Fouls committed,Defending - Recoveries,Defending - Dribbled past,Defending - Clearances,Defending - Clean sheets,Defending - Goals conceded while on pitch,Defending - xG against while on pitch,Selected Competition - Goals,Selected Competition - Assists,Selected Competition - Minutes,Shooting - Goals (per90),Shooting - xG (per90),Shooting - xGOT (per90),Shooting - xG excl. penalty (per90),Shooting - Shots (per90),Shooting - Shots on target (per90),Passing - Assists (per90),Passing - xA (per90),Passing - Accurate passes (per90),Passing - Pass accuracy (per90),Passing - Accurate long balls (per90),Passing - Long ball accuracy (per90),Passing - Chances created (per90),Passing - Big chances created (per90),Passing - Successful crosses (per90),Passing - Cross accuracy (per90),Possession - Dribbles (per90),Possession - Dribbles success rate (per90),Possession - Duels won (per90),Possession - Duels won % (per90),Possession - Aerials won (per90),Possession - Aerials won % (per90),Possession - Touches (per90),Possession - Touches in opposition box (per90),Possession - Dispossessed (per90),Possession - Fouls won (per90),Defending - Defensive actions (per90),Defending - Tackles (per90),Defending - Interceptions (per90),Defending - Blocked scoring attempt (per90),Defending - Fouls committed (per90),Defending - Recoveries (per90),Defending - Dribbled past (per90),Defending - Clearances (per90),Defending - Clean sheets (per90),Defending - Goals conceded while on pitch (per90),Defending - xG against while on pitch (per90),Shooting - Headed shots,Defending - Possession won final 3rd,Shooting - Headed shots (per90),Defending - Possession won final 3rd (per90),Possession - Penalties awarded,Possession - Penalties awarded (per90),Shooting - Penalty goals,Shooting - Penalty goals (per90),Defending - Penalties conceded,Defending - Penalties conceded (per90),market_value_usd_raw
1303876,Brooklyn Raines,New England Revolution,6580,https://www.fotmob.com/players/1303876/brooklyn-raines,Defensive Midfielder,DM,midfielders,173 cm,21,21,USA,Right,$1.2m,1005950,€1m,2029-06-30,MLS,Eastern,Major League Soccer,2026,,,,6.63,13,1140,5,0,,,,,,,,,,,,,,,,,5,0,,,6.63,13,13,,,,,,,,,,,,,,,,,,0.39,0.0,,,0.0,0.0,13.0,0,0.19,0.11,0.19,2,1,0,0.23,534,91.8,20,60.6,4,,,,5,62.5,47,42.3,2,15.4,754,4,9,20,78,21,16,6,38,55,3,35,3,16,18.98,0,0,1140,0.0,0.01,0.01,0.01,0.16,0.08,0.0,0.02,42.16,91.75,1.58,60.61,0.32,,,,0.39,62.5,3.71,42.34,0.16,15.38,59.53,0.32,0.71,1.58,6.16,1.66,1.26,0.47,3.0,4.34,0.24,2.76,0.24,1.26,1.5,,2,,0.16,,,,,1,0.08,1153824.65
1746754,Cristiano Oliveira,New England Revolution II,6580,https://www.fotmob.com/players/1746754/cristiano-oliveira,Central Midfielder,CM,midfielders,183 cm,35,18,USA,Right,$34.4k,30000,€30k,,MLS,Eastern,MLS Next Pro,2026,,,,7.8,7,603,2,0,,,,,,,,,,,,,,,,,2,0,,,,1,0,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,7.0,0.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34410.0
1647608,Eric Klein,New England Revolution II,6580,https://www.fotmob.com/players/1647608/eric-klein,Central Midfielder,CM,midfielders,,38,19,USA,,$835.5k,728380,€728.4k,,MLS,Eastern,MLS Next Pro,2026,,,,7.82,4,360,0,0,,,,,,,,,,,,,,,,,0,0,,,5.97,5,0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,835451.86
254966,Diego Fagúndez,New England Revolution,6580,https://www.fotmob.com/players/254966/diego-fag-ndez,Central Midfielder,CM,midfielders,173 cm,77,31,Uruguay,Right,$822.2k,716863,€716.9k,,MLS,Eastern,Major League Soccer,2026,,,,6.34,9,186,0,0,,,,,,,,,,,,,,,,,0,0,,,6.34,9,1,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,0.0,1.0,0,0.06,,0.06,1,,0,0.43,75,89.3,,,3,1,4,80.0,2,50.0,6,40.0,,,119,5,0,1,5,3,1,,3,10,3,1,0,3,3.72,0,0,186,0.0,0.03,,0.03,0.48,,0.0,0.21,36.29,89.29,,,1.45,0.48,1.94,80.0,0.97,50.0,2.9,40.0,,,57.58,2.42,0.0,0.48,2.42,1.45,0.48,,1.45,4.84,1.45,0.48,0.0,1.45,1.8,,2,,0.97,,,,,,,822241.86
955195,Alhassan Yusuf,New England Revolution,6580,https://www.fotmob.com/players/955195/alhassan-yusuf,Defensive Midfielder,DM,midfielders,175 cm,80,25,Nigeria,Right,$2.4m,2089836,€2.1m,2027-12-31,MLS,Eastern,Major League Soccer,2026,,,,7.27,14,1073,1,0,,,,,,,,,,,,,,,,,1,0,,,7.27,14,11,,,,,,,,,,,,,,,,,,0.08,0.0,,,2.0,0.0,11.0,2,0.65,1.38,0.65,8,3,0,0.70,569,87.9,33,55.9,9,,1,16.7,4,33.3,50,49.5,9,36.0,804,14,3,13,63,26,21,1,21,69,3,15,2,13,16.86,2,0,1073,0.17,0.05,0.12,0.05,0.67,0.25,0.0,0.06,47.73,87.94,2.77,55.93,0.75,,0.08,16.67,0.34,33.33,4.19,49.5,0.75,36.0,67.44,1.17,0.25,1.09,5.28,2.18,1.76,0.08,1.76,5.79,0.25,1.26,0.17,1.09,1.41,1,6,0.08,0.5,,,,,,,2397041.89
1033176,Griffin Yow,New England Revolution,6580,https://www.fotmob.com/players/1033176/griffin-yow,Left Winger,LW,attackers,170 cm,7,23,USA,Left,$2.0m,1722145,€1.7m,2029-06-30,MLS,Eastern,Major League Soccer,2026,,,,6.52,13,664,3,0,,,,,,,,,,,,,,,,,3,0,,,6.52,13,8,,,,,,,,,,,,,,,,,,0.41,0.0,,,1.0,0.0,8.0,1,0.94,1.21,0.94,12,5,0,0.98,140,80.5,3,37.5,7,,4,20.0,3,20.0,31,35.6,3,37.5,327,32,17,9,26,16,5,,11,32,13,5,0,11,11.43,1,0,664,0.14,0.13,0.16,0.13,1.63,0.68,0.0,0.13,18.98,80.46,0.41,37.5,0.95,,0.54,20.0,0.41,20.0,4.2,35.63,0.41,37.5,44.32,4.34,2.3,1.22,3.52,2.17,0.68,,1.49,4.34,1.76,0.68,0.0,1.49,1.55,1,6,0.14,0.81,,,,,,,1975300.32
1032040,Leonardo Campana,New England Revolution,6580,https://www.fotmob.com/players/1032040/leonardo-campana,Striker,ST,attackers,187 cm,9,25,Ecuador,Left,$2.1m,1798818,€1.8m,2027-12-31,MLS,Eastern,Major League Soccer,2026,,,,6.82,2,109,0,0,,,,,,,,,,,,,,,,,0,0,,,6.82,2,1,,,,,,,,,,,,,,,,,,0.0,0.0,,,1.0,0.0,1.0,1,0.76,0.59,0.76,2,1,0,0.02,17,70.8,,,,,,,,,3,75.0,3,75.0,30,2,0,,1,,,,,3,,1,0,4,2.87,1,0,109,0.83,0.63,0.49,0.63,1.65,0.83,0.0,0.01,14.04,70.83,,,,,,,,,2.48,75.0,2.48,75.0,24.77,1.65,0.0,,0.83,,,,,2.48,,0.83,0.0,3.3,2.37,,2,,1.65,,,,,,,2063244.25
1177306,Dor Turgeman,New England Revolution,6580,https://www.fotmob.com/players/1177306/dor-turgeman,Striker,ST,attackers,186 cm,11,22,Israel,Both,$6.3m,5496718,€5.5m,2028-12-31,MLS,Eastern,Major League Soccer,2026,,,,6.98,14,1177,1,0,,,,,,,,,,,,,,,,,1,0,,,6.98,14,14,,,,,,,,,,,,,,,,,,0.08,0.0,,,2.0,4.0,14.0,2,2.35,1.46,2.35,29,10,4,0.74,132,78.6,1,33.3,10,2,,,8,44.4,52,47.7,12,35.3,338,58,17,27,19,5,2,,4,27,4,12,2,17,19.83,2,4,1177,0.15,0.18,0.11,0.18,2.22,0.76,0.31,0.06,10.09,78.57,0.08,33.33,0.76,0.15,,,0.61,44.44,3.98,47.71,0.92,35.29,25.85,4.44,1.3,2.06,1.45,0.38,0.15,,0.31,2.06,0.31,0.92,0.15,1.3,1.52,6,11,0.46,0.84,2,0.15,,,,,6304735.55
1794408,Marcos Zambrano,New England Revolution,6580,https://www.fotmob.com/players/1794408/marcos-zambrano,Striker,ST,attackers,183 cm,17,21,USA,Right,$263.8k,229967,€230k,,MLS,Eastern,Major League Soccer,2026,,,,5.93,2,23,0,0,,,,,,,,,,,,,,,,,0,0,,,5.93,2,0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263772.15
1403414,Malcolm Fry,New England Revolution II,6580,https://www.fotmob.com/players/1403414/malcolm-fry,Right Winger,RW,attackers,175 cm,32,21,USA,Left,$472.9k,412331,€412.3k,,MLS,Eastern,MLS Next Pro,2026,,,,7.41,3,240,2,0,,,,,,,,,,,,,,,,,2,0,,,6.22,4,0,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,3.0,1.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,472943.66
1372430,Luca Langoni,New England Revolution,6580,https://www.fotmob.com/players/1372430/luca-langoni,Right Winger,RW,attackers,172 cm,41,24,Argentina,Right,$2.9m,2566141,€2.6m,2027-12-31,MLS,Eastern,Major League Soccer,2026,,,,7.21,12,814,1,0,,,,,,,,,,,,,,,,,1,0,,,7.21,12,10,,,,,,,,,,,,,,,,,,0.11,0.0,,,3.0,6.0,10.0,3,1.30,3.17,1.30,18,9,6,1.48,180,78.3,2,22.2,14,6,10,23.8,6,23.1,19,27.9,1,33.3,402,30,13,6,22,6,5,,8,25,6,11,0,9,11.56,3,6,814,0.33,0.14,0.35,0.14,1.99,1.0,0.66,0.16,19.9,78.26,0.22,22.22,1.55,0.66,1.11,23.81,0.66,23.08,2.1,27.94,0.11,33.33,44.45,3.32,1.44,0.66,2.43,0.66,0.55,,0.88,2.76,0.66,1.22,0.0,1.0,1.28,,1,,0.11,,,,,,,2943363.73
