player_id,name,team,team_id,url,position,position_short,position_group,height_cm,shirt,age,country,preferred_foot,market_value_usd,market_value_eur,market_value,contract_end,league_name,league_group,season_league,season_year,All Competitions - Clean sheets,All Competitions - Goals conceded,All Competitions - Saved penalties,All Competitions - Rating,All Competitions - Matches,All Competitions - Minutes played,All Competitions - Yellow cards,All Competitions - Red cards,Goalkeeping - Saves,Goalkeeping - Save percentage,Goalkeeping - Goals conceded,Goalkeeping - Clean sheets,Goalkeeping - Penalty saves,Goalkeeping - Penalties conceded,Goalkeeping - Penalty save %,Goalkeeping - Error led to goal,Goalkeeping - Acted as sweeper,Goalkeeping - High claims,Distribution - Accurate passes,Distribution - Pass accuracy,Distribution - Accurate long balls,Distribution - Long ball accuracy,Discipline - Yellow cards,Discipline - Red cards,Selected Competition - Conceded,Selected Competition - Clean sheets,Selected Competition - Rating,Selected Competition - Matches,Selected Competition - Started,Selected Competition - Penalties saved,Goalkeeping - Saves (per90),Goalkeeping - Save percentage (per90),Goalkeeping - Goals conceded (per90),Goalkeeping - Clean sheets (per90),Goalkeeping - Penalty saves (per90),Goalkeeping - Penalties conceded (per90),Goalkeeping - Penalty save % (per90),Goalkeeping - Error led to goal (per90),Goalkeeping - Acted as sweeper (per90),Goalkeeping - High claims (per90),Distribution - Accurate passes (per90),Distribution - Pass accuracy (per90),Distribution - Accurate long balls (per90),Distribution - Long ball accuracy (per90),Discipline - Yellow cards (per90),Discipline - Red cards (per90),Goalkeeping - Goals prevented,Distribution - xA,Goalkeeping - Goals prevented (per90),Distribution - xA (per90),All Competitions - Goals,All Competitions - Assists,All Competitions - Started,Shooting - Goals,Shooting - Shots,Passing - Assists,Passing - xA,Passing - Accurate passes,Passing - Pass accuracy,Passing - Accurate long balls,Passing - Long ball accuracy,Passing - Chances created,Passing - Big chances created,Possession - Dribbles,Possession - Dribbles success rate,Possession - Duels won,Possession - Duels won %,Possession - Aerials won,Possession - Aerials won %,Possession - Touches,Possession - Touches in opposition box,Possession - Dispossessed,Possession - Fouls won,Defending - Defensive actions,Defending - Tackles,Defending - Interceptions,Defending - Blocked scoring attempt,Defending - Fouls committed,Defending - Recoveries,Defending - Dribbled past,Defending - Clearances,Defending - Clean sheets,Defending - Goals conceded while on pitch,Defending - xG against while on pitch,Selected Competition - Goals,Selected Competition - Assists,Selected Competition - Minutes,Shooting - Goals (per90),Shooting - Shots (per90),Passing - Assists (per90),Passing - xA (per90),Passing - Accurate passes (per90),Passing - Pass accuracy (per90),Passing - Accurate long balls (per90),Passing - Long ball accuracy (per90),Passing - Chances created (per90),Passing - Big chances created (per90),Possession - Dribbles (per90),Possession - Dribbles success rate (per90),Possession - Duels won (per90),Possession - Duels won % (per90),Possession - Aerials won (per90),Possession - Aerials won % (per90),Possession - Touches (per90),Possession - Touches in opposition box (per90),Possession - Dispossessed (per90),Possession - Fouls won (per90),Defending - Defensive actions (per90),Defending - Tackles (per90),Defending - Interceptions (per90),Defending - Blocked scoring attempt (per90),Defending - Fouls committed (per90),Defending - Recoveries (per90),Defending - Dribbled past (per90),Defending - Clearances (per90),Defending - Clean sheets (per90),Defending - Goals conceded while on pitch (per90),Defending - xG against while on pitch (per90),Shooting - xG,Shooting - xG excl. penalty,Shooting - Headed shots,Defending - Penalties conceded,Defending - Possession won final 3rd,Shooting - xG (per90),Shooting - xG excl. penalty (per90),Shooting - Headed shots (per90),Defending - Penalties conceded (per90),Defending - Possession won final 3rd (per90),Shooting - xGOT,Shooting - Shots on target,Passing - Successful crosses,Passing - Cross accuracy,Shooting - xGOT (per90),Shooting - Shots on target (per90),Passing - Successful crosses (per90),Passing - Cross accuracy (per90),Shooting - Penalty goals,Shooting - Penalty goals (per90),Possession - Penalties awarded,Possession - Penalties awarded (per90),market_value_usd_raw
1101030,Kai Trewin,New York City FC,546238,https://www.fotmob.com/players/1101030/kai-trewin,Defensive Midfielder,DM,midfielders,179 cm,5,25,Australia,Right,$1.2m,1019028.0,€1m,2029-06-30,MLS,Eastern,Major League Soccer,2026,,,,6.79,15,1256,3,0,,,,,,,,,,,,,,,3,0,,,6.79,15,14,,,,,,,,,,,,,,,,0.21,0.0,,,,,0.0,0.0,14.0,0,8,0,0.92,823,88.7,42,55.3,7,2,2,40.0,50,56.2,16,64.0,1109,8,5,8,93,24,16,10,15,43,7,43,3,20,19.21,0,0,1256,0.0,0.57,0.0,0.07,58.97,88.69,3.01,55.26,0.5,0.14,0.14,40.0,3.58,56.18,1.15,64.0,79.47,0.57,0.36,0.57,6.66,1.72,1.15,0.72,1.07,3.08,0.5,3.08,0.21,1.43,1.38,0.52,0.52,2,,1,0.04,0.04,0.14,,0.07,0.51,3,1,50.0,0.04,0.21,0.07,50.0,,,,,1168825.12
1041997,Andrés Perea,New York City FC,546238,https://www.fotmob.com/players/1041997/andr-s-perea,Defensive Midfielder,DM,midfielders,184 cm,8,25,Colombia,Right,$2.0m,1711037.0,€1.7m,2028-06-30,MLS,Eastern,Major League Soccer,2026,,,,6.88,5,200,0,0,,,,,,,,,,,,,,,0,0,,,6.88,5,1,,,,,,,,,,,,,,,,0.0,0.0,,,,,1.0,0.0,1.0,1,4,0,0.07,57,75.0,4,50.0,1,,3,50.0,18,64.3,5,83.3,120,6,4,6,11,4,4,,,9,2,3,0,4,3.93,1,0,200,0.45,1.8,0.0,0.03,25.65,75.0,1.8,50.0,0.45,,1.35,50.0,8.1,64.29,2.25,83.33,54.0,2.7,1.8,2.7,4.95,1.8,1.8,,,4.05,0.9,1.35,0.0,1.8,1.77,0.32,0.32,3,,1,0.14,0.14,1.35,,0.45,0.82,1,,,0.37,0.45,,,,,,,1962559.44
29587,Maxi Moralez,New York City FC,546238,https://www.fotmob.com/players/29587/maxi-moralez,Attacking Midfielder,AM,midfielders,160 cm,10,39,Argentina,Right,$158.9k,138563.0,€138.6k,2026-12-31,MLS,Eastern,Major League Soccer,2026,,,,7.31,14,1130,1,0,,,,,,,,,,,,,,,1,0,,,7.31,14,14,,,,,,,,,,,,,,,,0.08,0.0,,,,,1.0,6.0,14.0,1,13,6,3.57,479,79.7,17,50.0,29,7,3,60.0,48,53.9,4,21.1,803,37,10,24,26,17,4,,9,57,6,5,0,15,15.69,1,6,1130,0.08,1.04,0.48,0.28,38.15,79.7,1.35,50.0,2.31,0.56,0.24,60.0,3.82,53.93,0.32,21.05,63.96,2.95,0.8,1.91,2.07,1.35,0.32,,0.72,4.54,0.48,0.4,0.0,1.19,1.25,2.21,1.42,1,,13,0.18,0.11,0.08,,1.04,1.70,5,14,28.6,0.14,0.4,1.12,28.57,1,0.08,,,158931.76
1909902,Kevin Pierre,New York City FC II,546238,https://www.fotmob.com/players/1909902/kevin-pierre,Central Midfielder,CM,midfielders,185 cm,15,22,USA,,$22.9k,20000.0,€20k,,MLS,Eastern,MLS Next Pro,2026,,,,6.98,6,487,0,0,,,,,,,,,,,,,,,0,0,,,,1,0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22940.0
785377,Aiden O'Neill,New York City FC,546238,https://www.fotmob.com/players/785377/aiden-o-neill,Defensive Midfielder,DM,midfielders,178 cm,21,27,Australia,Right,$2.1m,1837628.0,€1.8m,2028-12-31,MLS,Eastern,Major League Soccer,2026,,,,7.06,11,909,2,0,,,,,,,,,,,,,,,2,0,,,7.06,11,11,,,,,,,,,,,,,,,,0.2,0.0,,,,,0.0,1.0,11.0,0,5,1,0.30,561,89.8,24,54.5,4,1,7,58.3,57,57.0,10,58.8,785,6,4,11,67,29,13,7,18,39,10,18,1,15,12.76,0,1,909,0.0,0.5,0.1,0.03,55.54,89.76,2.38,54.55,0.4,0.1,0.69,58.33,5.64,57.0,0.99,58.82,77.72,0.59,0.4,1.09,6.63,2.87,1.29,0.69,1.78,3.86,0.99,1.78,0.1,1.49,1.26,0.30,0.30,1,,4,0.03,0.03,0.1,,0.4,0.21,1,,,0.02,0.1,,,,,,,2107759.32
1513250,Máximo Carrizo,New York City FC II,546238,https://www.fotmob.com/players/1513250/m-ximo-carrizo,Attacking Midfielder,AM,midfielders,167 cm,29,18,USA,Left,$1.2m,1066934.0,€1.1m,,MLS,Eastern,MLS Next Pro,2026,,,,6.8,4,283,2,0,,,,,,,,,,,,,,,2,0,,,6.10,3,0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,4.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1223773.3
1513255,Jonathan Shore,New York City FC,546238,https://www.fotmob.com/players/1513255/jonathan-shore,Central Midfielder,CM,midfielders,173 cm,32,19,USA,,$2.2m,1909529.0,€1.9m,,MLS,Eastern,Major League Soccer,2026,,,,6.43,10,110,0,0,,,,,,,,,,,,,,,0,0,,,6.43,10,0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2190229.76
1626412,Jacob Arroyave,New York City FC II,546238,https://www.fotmob.com/players/1626412/jacob-arroyave,midfielder,,midfielders,,47,18,USA,,$45.9k,40000.0,€40k,,MLS,Eastern,MLS Next Pro,2026,,,,6.43,4,85,0,0,,,,,,,,,,,,,,,0,0,,,6.43,4,0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45880.0
782782,Keaton Parks,New York City FC,546238,https://www.fotmob.com/players/782782/keaton-parks,Central Midfielder,CM,midfielders,193 cm,55,28,USA,Right,$1.7m,1456684.0,€1.5m,2026-12-31,MLS,Eastern,Major League Soccer,2026,,,,6.83,14,826,3,0,,,,,,,,,,,,,,,3,0,,,6.83,14,10,,,,,,,,,,,,,,,,0.33,0.0,,,,,2.0,0.0,10.0,2,9,0,0.64,400,83.9,17,68.0,8,2,3,30.0,52,48.6,23,65.7,625,19,9,9,43,17,6,1,20,46,7,19,0,13,14.92,2,0,826,0.22,0.98,0.0,0.07,43.58,83.86,1.85,68.0,0.87,0.22,0.33,30.0,5.67,48.6,2.51,65.71,68.1,2.07,0.98,0.98,4.69,1.85,0.65,0.11,2.18,5.01,0.76,2.07,0.0,1.42,1.63,1.37,1.37,3,1,9,0.15,0.15,0.33,0.11,0.98,1.43,3,1,25.0,0.16,0.33,0.11,25.0,,,,,1670816.55
1729724,Peter Molinari,New York City FC II,546238,https://www.fotmob.com/players/1729724/peter-molinari,Central Midfielder,CM,midfielders,175 cm,71,17,USA,Right,$45.9k,40000.0,€40k,,MLS,Eastern,MLS Next Pro,2026,,,,6.56,7,428,1,0,,,,,,,,,,,,,,,1,0,,,6.56,7,4,,,,,,,,,,,,,,,,0.21,0.0,,,,,0.0,0.0,4.0,0,1,0,,186,80.2,8,29.6,5,,1,50.0,13,38.2,2,20.0,289,2,5,2,34,8,11,3,5,22,2,12,0,13,,0,0,428,0.0,0.21,0.0,,39.11,80.17,1.68,29.63,1.05,,0.21,50.0,2.73,38.24,0.42,20.0,60.77,0.42,1.05,0.42,7.15,1.68,2.31,0.63,1.05,4.63,0.42,2.52,0.0,2.73,,,,,,,,,,,,,,1,100.0,,,0.21,100.0,,,,,45880.0
