player_id,name,team,team_id,url,position,position_short,position_group,height_cm,shirt,age,country,preferred_foot,market_value_usd,market_value_eur,market_value,contract_end,league_name,league_group,season_league,season_year,All Competitions - Clean sheets,All Competitions - Goals conceded,All Competitions - Saved penalties,All Competitions - Rating,All Competitions - Matches,All Competitions - Minutes played,All Competitions - Yellow cards,All Competitions - Red cards,Goalkeeping - Saves,Goalkeeping - Save percentage,Goalkeeping - Goals conceded,Goalkeeping - Goals prevented,Goalkeeping - Clean sheets,Goalkeeping - Penalty saves,Goalkeeping - Penalties conceded,Goalkeeping - Penalty save %,Goalkeeping - Error led to goal,Goalkeeping - Acted as sweeper,Goalkeeping - High claims,Distribution - Accurate passes,Distribution - Pass accuracy,Distribution - Accurate long balls,Distribution - Long ball accuracy,Distribution - Assists,Distribution - Chances created,Distribution - xA,Discipline - Yellow cards,Discipline - Red cards,Selected Competition - Conceded,Selected Competition - Clean sheets,Selected Competition - Rating,Selected Competition - Matches,Selected Competition - Started,Selected Competition - Penalties saved,Goalkeeping - Saves (per90),Goalkeeping - Save percentage (per90),Goalkeeping - Goals conceded (per90),Goalkeeping - Goals prevented (per90),Goalkeeping - Clean sheets (per90),Goalkeeping - Penalty saves (per90),Goalkeeping - Penalties conceded (per90),Goalkeeping - Penalty save % (per90),Goalkeeping - Error led to goal (per90),Goalkeeping - Acted as sweeper (per90),Goalkeeping - High claims (per90),Distribution - Accurate passes (per90),Distribution - Pass accuracy (per90),Distribution - Accurate long balls (per90),Distribution - Long ball accuracy (per90),Distribution - Assists (per90),Distribution - Chances created (per90),Distribution - xA (per90),Discipline - Yellow cards (per90),Discipline - Red cards (per90),All Competitions - Goals,All Competitions - Assists,All Competitions - Started,Shooting - Goals,Shooting - xG,Shooting - xGOT,Shooting - xG excl. penalty,Shooting - Shots,Shooting - Shots on target,Shooting - Headed shots,Passing - Assists,Passing - xA,Passing - Accurate passes,Passing - Pass accuracy,Passing - Accurate long balls,Passing - Long ball accuracy,Passing - Chances created,Passing - Big chances created,Passing - Successful crosses,Passing - Cross accuracy,Possession - Dribbles,Possession - Dribbles success rate,Possession - Duels won,Possession - Duels won %,Possession - Aerials won,Possession - Aerials won %,Possession - Touches,Possession - Touches in opposition box,Possession - Dispossessed,Possession - Fouls won,Defending - Defensive actions,Defending - Tackles,Defending - Interceptions,Defending - Blocked scoring attempt,Defending - Fouls committed,Defending - Penalties conceded,Defending - Recoveries,Defending - Dribbled past,Defending - Clearances,Defending - Clean sheets,Defending - Goals conceded while on pitch,Defending - xG against while on pitch,Selected Competition - Goals,Selected Competition - Assists,Selected Competition - Minutes,Shooting - Goals (per90),Shooting - xG (per90),Shooting - xGOT (per90),Shooting - xG excl. penalty (per90),Shooting - Shots (per90),Shooting - Shots on target (per90),Shooting - Headed shots (per90),Passing - Assists (per90),Passing - xA (per90),Passing - Accurate passes (per90),Passing - Pass accuracy (per90),Passing - Accurate long balls (per90),Passing - Long ball accuracy (per90),Passing - Chances created (per90),Passing - Big chances created (per90),Passing - Successful crosses (per90),Passing - Cross accuracy (per90),Possession - Dribbles (per90),Possession - Dribbles success rate (per90),Possession - Duels won (per90),Possession - Duels won % (per90),Possession - Aerials won (per90),Possession - Aerials won % (per90),Possession - Touches (per90),Possession - Touches in opposition box (per90),Possession - Dispossessed (per90),Possession - Fouls won (per90),Defending - Defensive actions (per90),Defending - Tackles (per90),Defending - Interceptions (per90),Defending - Blocked scoring attempt (per90),Defending - Fouls committed (per90),Defending - Penalties conceded (per90),Defending - Recoveries (per90),Defending - Dribbled past (per90),Defending - Clearances (per90),Defending - Clean sheets (per90),Defending - Goals conceded while on pitch (per90),Defending - xG against while on pitch (per90),Defending - Possession won final 3rd,Defending - Possession won final 3rd (per90),Possession - Penalties awarded,Possession - Penalties awarded (per90),Shooting - Penalty goals,Shooting - Penalty goals (per90),market_value_usd_raw
1118540,David Ayala,Inter Miami CF,960720,https://www.fotmob.com/players/1118540/david-ayala,Central Midfielder,CM,midfielders,170 cm,22,23,Argentina,Left,$2.1m,1804493,€1.8m,2026-12-31,MLS,Eastern,Major League Soccer,2026,,,,6.29,6,264,0,0,,,,,,,,,,,,,,,,,,,0,0,,,6.29,6,3,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3.0,0,0.03,,0.03,1,,,0,0.09,152,87.4,11,55.0,2,,1,50.0,,,5,31.2,1,25.0,204,2,2,2,11,2,4,3,4,,22,2,2,0,6,4.36,0,0,264,0.0,0.01,,0.01,0.34,,,0.0,0.03,51.82,87.36,3.75,55.0,0.68,,0.34,50.0,,,1.7,31.25,0.34,25.0,69.55,0.68,0.68,0.68,3.75,0.68,1.36,1.02,1.36,,7.5,0.68,0.68,0.0,2.05,1.49,3,1.02,,,,,2069753.47
1348286,David Ruiz,Inter Miami CF,960720,https://www.fotmob.com/players/1348286/david-ruiz,Central Midfielder,CM,midfielders,181 cm,41,22,Honduras,Right,$2.0m,1763298,€1.8m,2028-12-31,MLS,Eastern,Major League Soccer,2026,,,,6.41,4,152,1,0,,,,,,,,,,,,,,,,,,,1,0,,,6.41,4,2,,,,,,,,,,,,,,,,,,,,0.59,0.0,0.0,0.0,2.0,0,0.11,,0.11,1,,,0,0.23,85,91.4,3,75.0,2,,,,,,6,33.3,2,66.7,117,2,2,1,6,3,1,1,8,,11,1,1,0,1,2.56,0,0,152,0.0,0.06,,0.06,0.59,,,0.0,0.13,50.33,91.4,1.78,75.0,1.18,,,,,,3.55,33.33,1.18,66.67,69.28,1.18,1.18,0.59,3.55,1.78,0.59,0.59,4.74,,6.51,0.59,0.59,0.0,0.59,1.51,1,0.59,,,,,2022502.81
1600844,Yannick Bright,Inter Miami CF,960720,https://www.fotmob.com/players/1600844/yannick-bright,Defensive Midfielder,DM,midfielders,183 cm,42,24,Italy,Right,$1.4m,1239797,€1.2m,2028-12-31,MLS,Eastern,Major League Soccer,2026,,,,7.39,12,962,3,1,,,,,,,,,,,,,,,,,,,3,1,,,7.39,12,11,,,,,,,,,,,,,,,,,,,,0.28,0.09,0.0,0.0,11.0,0,0.25,0.05,0.25,4,1,1,0,0.60,574,90.1,36,70.6,9,1,1,50.0,4,36.4,74,61.7,9,69.2,821,10,6,16,89,47,25,3,19,,66,10,14,0,21,17.03,0,0,962,0.0,0.02,0.0,0.02,0.37,0.09,0.09,0.0,0.06,53.7,90.11,3.37,70.59,0.84,0.09,0.09,50.0,0.37,36.36,6.92,61.67,0.84,69.23,76.81,0.94,0.56,1.5,8.33,4.4,2.34,0.28,1.78,,6.17,0.94,1.31,0.0,1.96,1.59,7,0.65,1,0.09,,,1422047.16
1738766,Preston Plambeck,Inter Miami CF II,960720,https://www.fotmob.com/players/1738766/preston-plambeck,Left Midfielder,LM,midfielders,,59,20,USA,,$438.1k,381926,€381.9k,,MLS,Eastern,MLS Next Pro,2026,,,,7.27,8,708,1,0,,,,,,,,,,,,,,,,,,,1,0,,,6.38,3,0,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,8.0,2.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,438069.12
1780795,Alexander Shaw,Inter Miami CF,960720,https://www.fotmob.com/players/1780795/alexander-shaw,Central Midfielder,CM,midfielders,180 cm,88,18,Colombia,,$17.2k,15000,€15k,,MLS,Eastern,Major League Soccer,2026,,,,6.18,2,23,0,0,,,,,,,,,,,,,,,,,,,0,0,,,6.18,2,0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17205.0
40636,Luis Suárez,Inter Miami CF,960720,https://www.fotmob.com/players/40636/luis-su-rez,Striker,ST,attackers,182 cm,9,39,Uruguay,Right,$1.0m,906846,€906.8k,2026-12-31,MLS,Eastern,Major League Soccer,2026,,,,7.46,11,614,1,0,,,,,,,,,,,,,,,,,,,1,0,,,7.46,11,7,,,,,,,,,,,,,,,,,,,,0.15,0.0,6.0,1.0,7.0,6,5.11,5.50,5.11,23,13,1,1,1.84,196,76.9,13,72.2,13,2,2,25.0,2,25.0,20,54.1,3,50.0,346,50,3,12,9,3,1,1,4,,15,2,4,1,11,10.61,6,1,614,0.88,0.75,0.81,0.75,3.37,1.91,0.15,0.15,0.27,28.73,76.86,1.91,72.22,1.91,0.29,0.29,25.0,0.29,25.0,2.93,54.05,0.44,50.0,50.72,7.33,0.44,1.76,1.32,0.44,0.15,0.15,0.59,,2.2,0.29,0.59,0.15,1.61,1.56,4,0.59,,,,,1040152.36
30981,Lionel Messi,Inter Miami CF,960720,https://www.fotmob.com/players/30981/lionel-messi,Striker,ST,attackers,170 cm,10,38,Argentina,Left,$16.3m,14203769,€14.2m,2028-12-31,MLS,Eastern,Major League Soccer,2026,,,,8.47,14,1243,2,0,,,,,,,,,,,,,,,,,,,2,0,,,8.47,14,14,,,,,,,,,,,,,,,,,,,,0.14,0.0,12.0,7.0,14.0,12,10.44,12.51,9.65,84,34,3,7,7.58,514,80.1,27,56.2,42,13,13,36.1,34,48.6,69,45.4,2,40.0,960,103,29,24,11,9,2,,12,,28,6,,2,28,23.64,12,7,1243,0.87,0.76,0.91,0.7,6.08,2.46,0.22,0.51,0.55,37.22,80.06,1.95,56.25,3.04,0.94,0.94,36.11,2.46,48.57,5.0,45.39,0.14,40.0,69.51,7.46,2.1,1.74,0.8,0.65,0.14,,0.87,,2.03,0.43,,0.14,2.03,1.71,13,0.94,,,1,0.07,16291723.04
743536,Germán Berterame,Inter Miami CF,960720,https://www.fotmob.com/players/743536/germ-n-berterame,Striker,ST,attackers,173 cm,19,27,Mexico,Right,$10.9m,9488539,€9.5m,2029-06-30,MLS,Eastern,Major League Soccer,2026,,,,7.38,15,1134,1,0,,,,,,,,,,,,,,,,,,,1,0,,,7.38,15,12,,,,,,,,,,,,,,,,,,,,0.08,0.0,7.0,3.0,12.0,7,7.41,8.11,7.41,30,16,11,3,2.06,219,79.1,2,50.0,16,4,,,5,41.7,46,43.8,18,40.9,425,87,1,13,27,10,6,,25,,27,2,11,1,24,21.40,7,3,1134,0.56,0.59,0.64,0.59,2.38,1.27,0.87,0.24,0.16,17.38,79.06,0.16,50.0,1.27,0.32,,,0.4,41.67,3.65,43.81,1.43,40.91,33.73,6.9,0.08,1.03,2.14,0.79,0.48,,1.98,,2.14,0.16,0.87,0.08,1.9,1.7,6,0.48,,,,,10883354.23
1529403,Santiago Morales,Inter Miami CF II,960720,https://www.fotmob.com/players/1529403/santiago-morales,Left Winger,LW,attackers,170 cm,20,19,USA,Right,$824.3k,718667,€718.7k,,MLS,Eastern,MLS Next Pro,2026,,,,6.91,2,134,0,0,,,,,,,,,,,,,,,,,,,0,0,,,7.03,1,1,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2.0,0,,,,0,,,0,0.09,29,87.9,3,100.0,3,,1,100.0,,,4,57.1,,,43,,0,3,1,1,,,,,2,1,,0,0,1.05,0,0,73,0.0,,,,0.0,,,0.0,0.12,35.75,87.88,3.7,100.0,3.7,,1.23,100.0,,,4.93,57.14,,,53.01,,0.0,3.7,1.23,1.23,,,,,2.47,1.23,,0.0,0.0,1.3,,,,,,,824311.05
1330616,Tadeo Allende,Inter Miami CF,960720,https://www.fotmob.com/players/1330616/tadeo-allende,Right Winger,RW,attackers,183 cm,21,27,Argentina,Right,$3.4m,3003036,€3m,2030-06-30,MLS,Eastern,Major League Soccer,2026,,,,6.51,9,432,3,0,,,,,,,,,,,,,,,,,,,3,0,,,6.51,9,4,,,,,,,,,,,,,,,,,,,,0.62,0.0,0.0,0.0,4.0,0,1.01,0.56,1.01,9,4,6,0,0.63,95,73.1,2,50.0,6,,2,16.7,3,42.9,22,48.9,11,73.3,192,30,5,3,11,5,3,,6,,12,4,3,0,12,10.68,0,0,432,0.0,0.21,0.12,0.21,1.88,0.83,1.25,0.0,0.13,19.79,73.08,0.42,50.0,1.25,,0.42,16.67,0.62,42.86,4.58,48.89,2.29,73.33,40.0,6.25,1.04,0.62,2.29,1.04,0.62,,1.25,,2.5,0.83,0.62,0.0,2.5,2.22,4,0.83,,,,,3444482.29
1662026,Mateo Silvetti,Inter Miami CF,960720,https://www.fotmob.com/players/1662026/mateo-silvetti,Left Winger,LW,attackers,175 cm,24,20,Argentina,Right,$11.7m,10225852,€10.2m,2029-12-31,MLS,Eastern,Major League Soccer,2026,,,,7.22,10,619,1,0,,,,,,,,,,,,,,,,,,,1,0,,,7.22,10,7,,,,,,,,,,,,,,,,,,,,0.15,0.0,3.0,3.0,7.0,3,1.50,2.72,1.50,20,10,2,3,2.22,126,75.4,4,50.0,12,5,4,22.2,6,33.3,32,43.2,5,29.4,310,46,9,9,22,12,1,1,8,,15,1,8,1,9,9.14,3,3,619,0.44,0.22,0.4,0.22,2.91,1.45,0.29,0.44,0.32,18.32,75.45,0.58,50.0,1.74,0.73,0.58,22.22,0.87,33.33,4.65,43.24,0.73,29.41,45.07,6.69,1.31,1.31,3.2,1.74,0.15,0.15,1.16,,2.18,0.15,1.16,0.15,1.31,1.33,1,0.15,,,,,11729052.24
1626969,Dániel Pintér,Inter Miami CF,960720,https://www.fotmob.com/players/1626969/d-niel-pint-r,Striker,ST,attackers,181 cm,56,19,USA,,$699.5k,609895,€609.9k,2028-06-30,MLS,Eastern,Major League Soccer,2026,,,,6.45,7,211,1,0,,,,,,,,,,,,,,,,,,,1,0,,,6.45,7,1,,,,,,,,,,,,,,,,,,,,0.43,0.0,0.0,0.0,1.0,0,0.30,0.11,0.30,4,2,,0,0.65,62,88.6,3,75.0,3,,2,66.7,1,100.0,13,50.0,4,50.0,99,10,1,3,9,5,1,1,6,,11,3,2,0,3,3.41,0,0,211,0.0,0.13,0.04,0.13,1.71,0.85,,0.0,0.28,26.45,88.57,1.28,75.0,1.28,,0.85,66.67,0.43,100.0,5.55,50.0,1.71,50.0,42.23,4.27,0.43,1.28,3.84,2.13,0.43,0.43,2.56,,4.69,1.28,0.85,0.0,1.28,1.45,,,,,,,699549.56
