player_id,name,team,team_id,url,position,position_short,position_group,height_cm,shirt,age,country,preferred_foot,market_value_usd,market_value_eur,market_value,contract_end,league_name,league_group,season_league,season_year,All Competitions - Goals conceded,All Competitions - Saved penalties,All Competitions - Rating,All Competitions - Matches,All Competitions - Minutes played,All Competitions - Yellow cards,All Competitions - Red cards,Goalkeeping - Saves,Goalkeeping - Save percentage,Goalkeeping - Goals conceded,Goalkeeping - Goals prevented,Goalkeeping - Clean sheets,Goalkeeping - Penalty saves,Goalkeeping - Penalties conceded,Goalkeeping - Penalty save %,Goalkeeping - Error led to goal,Goalkeeping - Acted as sweeper,Goalkeeping - High claims,Distribution - Accurate passes,Distribution - Pass accuracy,Distribution - Accurate long balls,Distribution - Long ball accuracy,Distribution - xA,Discipline - Yellow cards,Discipline - Red cards,Selected Competition - Conceded,Selected Competition - Clean sheets,Selected Competition - Rating,Selected Competition - Matches,Selected Competition - Started,Selected Competition - Penalties saved,Goalkeeping - Saves (per90),Goalkeeping - Save percentage (per90),Goalkeeping - Goals conceded (per90),Goalkeeping - Goals prevented (per90),Goalkeeping - Clean sheets (per90),Goalkeeping - Penalty saves (per90),Goalkeeping - Penalties conceded (per90),Goalkeeping - Penalty save % (per90),Goalkeeping - Error led to goal (per90),Goalkeeping - Acted as sweeper (per90),Goalkeeping - High claims (per90),Distribution - Accurate passes (per90),Distribution - Pass accuracy (per90),Distribution - Accurate long balls (per90),Distribution - Long ball accuracy (per90),Distribution - xA (per90),Discipline - Yellow cards (per90),Discipline - Red cards (per90),All Competitions - Goals,All Competitions - Assists,All Competitions - Started,Shooting - Goals,Shooting - xG,Shooting - xG excl. penalty,Shooting - Shots,Passing - Assists,Passing - xA,Passing - Accurate passes,Passing - Pass accuracy,Passing - Accurate long balls,Passing - Long ball accuracy,Passing - Chances created,Passing - Big chances created,Passing - Successful crosses,Passing - Cross accuracy,Possession - Dribbles,Possession - Dribbles success rate,Possession - Duels won,Possession - Duels won %,Possession - Aerials won,Possession - Aerials won %,Possession - Touches,Possession - Touches in opposition box,Possession - Dispossessed,Possession - Fouls won,Defending - Defensive actions,Defending - Tackles,Defending - Interceptions,Defending - Blocked scoring attempt,Defending - Fouls committed,Defending - Recoveries,Defending - Possession won final 3rd,Defending - Dribbled past,Defending - Clearances,Defending - Clean sheets,Defending - Goals conceded while on pitch,Defending - xG against while on pitch,Selected Competition - Goals,Selected Competition - Assists,Selected Competition - Minutes,Shooting - Goals (per90),Shooting - xG (per90),Shooting - xG excl. penalty (per90),Shooting - Shots (per90),Passing - Assists (per90),Passing - xA (per90),Passing - Accurate passes (per90),Passing - Pass accuracy (per90),Passing - Accurate long balls (per90),Passing - Long ball accuracy (per90),Passing - Chances created (per90),Passing - Big chances created (per90),Passing - Successful crosses (per90),Passing - Cross accuracy (per90),Possession - Dribbles (per90),Possession - Dribbles success rate (per90),Possession - Duels won (per90),Possession - Duels won % (per90),Possession - Aerials won (per90),Possession - Aerials won % (per90),Possession - Touches (per90),Possession - Touches in opposition box (per90),Possession - Dispossessed (per90),Possession - Fouls won (per90),Defending - Defensive actions (per90),Defending - Tackles (per90),Defending - Interceptions (per90),Defending - Blocked scoring attempt (per90),Defending - Fouls committed (per90),Defending - Recoveries (per90),Defending - Possession won final 3rd (per90),Defending - Dribbled past (per90),Defending - Clearances (per90),Defending - Clean sheets (per90),Defending - Goals conceded while on pitch (per90),Defending - xG against while on pitch (per90),Shooting - xGOT,Shooting - Shots on target,Shooting - Headed shots,Shooting - xGOT (per90),Shooting - Shots on target (per90),Shooting - Headed shots (per90),Defending - Penalties conceded,Defending - Penalties conceded (per90),Possession - Penalties awarded,Possession - Penalties awarded (per90),Shooting - Penalty goals,Shooting - Penalty goals (per90),market_value_usd_raw
1640272,Iago,Orlando City,267810,https://www.fotmob.com/players/1640272/iago,Center Back,CB,defenders,188 cm,57.0,21,Brazil,Right,$1.5m,1300000,€1.3m,,MLS,Eastern,Major League Soccer,2026,,,6.28,13,1006,4,0,,,,,,,,,,,,,,,,,4,0,,,6.28,13,11,,,,,,,,,,,,,,,,,,0.36,0.0,0.0,0.0,11.0,0,0.60,0.60,9,0,0.39,559,91.0,39,66.1,2,1,,,1,100.0,35,47.3,24,54.5,751,17,0,6,95,4,15,13,13,31,2,6,63,0,30,24.44,0,0,1006,0.0,0.05,0.05,0.81,0.0,0.03,50.01,91.04,3.49,66.1,0.18,0.09,,,0.09,100.0,3.13,47.3,2.15,54.55,67.19,1.52,0.0,0.54,8.5,0.36,1.34,1.16,1.16,2.77,0.18,0.54,5.64,0.0,2.68,2.19,0.22,2,5,0.02,0.18,0.45,,,1,0.09,,,1491100.0
1664779,Luis Otávio,Orlando City,267810,https://www.fotmob.com/players/1664779/luis-ot-vio,Central Midfielder,CM,midfielders,,5.0,19,Brazil,,$3.0m,2600000,€2.6m,,MLS,Eastern,Major League Soccer,2026,,,6.62,10,413,2,0,,,,,,,,,,,,,,,,,2,0,,,6.62,10,5,,,,,,,,,,,,,,,,,,0.44,0.0,1.0,0.0,5.0,1,0.59,0.59,4,0,0.10,148,79.6,10,55.6,1,,,,2,40.0,31,59.6,5,55.6,262,6,3,7,32,17,7,,6,27,2,5,8,0,17,10.86,1,0,413,0.22,0.13,0.13,0.87,0.0,0.02,32.25,79.57,2.18,55.56,0.22,,,,0.44,40.0,6.76,59.62,1.09,55.56,57.09,1.31,0.65,1.53,6.97,3.7,1.53,,1.31,5.88,0.44,1.09,1.74,0.0,3.7,2.37,0.45,3,1,0.1,0.65,0.22,1,0.22,,,,,2982200.0
1075065,Braian Ojeda,Orlando City,267810,https://www.fotmob.com/players/1075065/braian-ojeda,Defensive Midfielder,DM,midfielders,173 cm,8.0,25,Paraguay,Right,$2.7m,2326714,€2.3m,2029-06-30,MLS,Eastern,Major League Soccer,2026,,,6.61,15,1337,1,0,,,,,,,,,,,,,,,,,1,0,,,6.61,15,15,,,,,,,,,,,,,,,,,,0.07,0.0,0.0,1.0,15.0,0,0.41,0.41,11,1,0.62,577,89.6,29,67.4,9,1,,,9,56.2,66,52.4,7,46.7,834,17,13,32,57,18,18,8,19,83,7,13,13,0,42,33.18,0,1,1337,0.0,0.03,0.03,0.74,0.07,0.04,38.84,89.6,1.95,67.44,0.61,0.07,,,0.61,56.25,4.44,52.38,0.47,46.67,56.14,1.14,0.88,2.15,3.84,1.21,1.21,0.54,1.28,5.59,0.47,0.88,0.88,0.0,2.83,2.23,,,2,,,0.13,,,,,,,2668740.96
427216,Wilder Cartagena,Orlando City,267810,https://www.fotmob.com/players/427216/wilder-cartagena,midfielder,,midfielders,179 cm,16.0,31,Peru,Right,$758.4k,661205,€661.2k,2026-12-31,MLS,Eastern,Major League Soccer,2026,,,6.22,4,42,1,0,,,,,,,,,,,,,,,,,1,0,,,6.22,4,1,,,,,,,,,,,,,,,,,,2.14,0.0,0.0,0.0,1.0,0,,,0,0,0.00,27,79.4,3,60.0,,,,,,,8,47.1,2,66.7,50,1,4,3,6,4,1,,4,3,,,1,0,5,3.08,0,0,42,0.0,,,0.0,0.0,0.01,57.86,79.41,6.43,60.0,,,,,,,17.14,47.06,4.29,66.67,107.14,2.14,8.57,6.43,12.86,8.57,2.14,,8.57,6.43,,,2.14,0.0,10.71,6.59,,,,,,,,,,,,,758402.14
858036,Eduard Atuesta,Orlando City,267810,https://www.fotmob.com/players/858036/eduard-atuesta,Central Midfielder,CM,midfielders,180 cm,20.0,29,Colombia,Right,$1.7m,1467280,€1.5m,,MLS,Eastern,Major League Soccer,2026,,,6.57,11,678,4,0,,,,,,,,,,,,,,,,,4,0,,,6.57,11,8,,,,,,,,,,,,,,,,,,0.53,0.0,0.0,0.0,8.0,0,0.42,0.42,4,0,0.44,342,85.7,12,32.4,5,1,3,21.4,6,40.0,46,54.1,3,37.5,526,8,8,14,43,23,9,3,10,45,5,7,8,0,18,13.35,0,0,678,0.0,0.06,0.06,0.53,0.0,0.06,45.4,85.71,1.59,32.43,0.66,0.13,0.4,21.43,0.8,40.0,6.11,54.12,0.4,37.5,69.82,1.06,1.06,1.86,5.71,3.05,1.19,0.4,1.33,5.97,0.66,0.93,1.06,0.0,2.39,1.77,0.32,2,,0.04,0.27,,,,,,,,1682970.16
1626138,Justin Ellis,Orlando City B,267810,https://www.fotmob.com/players/1626138/justin-ellis,Attacking Midfielder,AM,midfielders,182 cm,22.0,19,USA,Right,$263.8k,230000,€230k,,MLS,Eastern,MLS Next Pro,2026,,,8.01,4,356,0,0,,,,,,,,,,,,,,,,,0,0,,,7.07,8,7,,,,,,,,,,,,,,,,,,0.0,0.0,3.0,2.0,4.0,1,0.86,0.86,9,2,0.75,112,76.7,7,53.8,10,3,,,17,85.0,36,56.2,6,50.0,234,21,15,10,7,4,1,,2,13,2,2,2,0,10,11.30,1,2,539,0.17,0.14,0.14,1.5,0.33,0.13,18.7,76.71,1.17,53.85,1.67,0.5,,,2.84,85.0,6.01,56.25,1.0,50.0,39.07,3.51,2.5,1.67,1.17,0.67,0.17,,0.33,2.17,0.33,0.33,0.33,0.0,1.67,1.89,1.94,5,1,0.32,0.83,0.17,,,,,,,263810.0
1624002,Colin Guske,Orlando City B,267810,https://www.fotmob.com/players/1624002/colin-guske,Defensive Midfielder,DM,midfielders,183 cm,25.0,19,USA,,$1.1m,978470,€978.5k,,MLS,Eastern,MLS Next Pro,2026,,,7.96,3,229,0,0,,,,,,,,,,,,,,,,,0,1,,,5.75,6,2,,,,,,,,,,,,,,,,,,0.0,0.32,0.0,1.0,3.0,0,0.01,0.01,1,0,0.05,124,81.6,3,18.8,1,,,,,,12,50.0,,,202,,2,8,23,4,6,2,6,7,,2,11,0,12,10.09,0,0,284,0.0,0.0,0.0,0.32,0.0,0.02,39.3,81.58,0.95,18.75,0.32,,,,,,3.8,50.0,,,64.01,,0.63,2.54,7.29,1.27,1.9,0.63,1.9,2.22,,0.63,3.49,0.0,3.8,3.2,,,,,,,,,,,,,1122305.09
1717122,Joran Gerbet,Orlando City,267810,https://www.fotmob.com/players/1717122/joran-gerbet,Central Midfielder,CM,midfielders,180 cm,35.0,24,France,,$290.8k,253567,€253.6k,2026-12-31,MLS,Eastern,Major League Soccer,2025,,,6.92,20,1116,2,0,,,,,,,,,,,,,,,,,2,0,,,6.92,20,13,,,,,,,,,,,,,,,,,,0.16,0.0,0.0,1.0,13.0,0,0.05,0.05,3,1,0.57,527,90.1,31,70.5,5,,,,5,71.4,72,62.1,20,48.8,735,3,4,25,64,23,14,6,12,49,5,5,,5,18,17.32,0,1,1116,0.0,0.0,0.0,0.24,0.08,0.05,42.5,90.09,2.5,70.45,0.4,,,,0.4,71.43,5.81,62.07,1.61,48.78,59.27,0.24,0.32,2.02,5.16,1.85,1.13,0.48,0.97,3.95,0.4,0.4,,0.4,1.45,1.4,,,,,,,,,1,0.08,,,290841.35
1780483,Dylan Judelson,Orlando City B,267810,https://www.fotmob.com/players/1780483/dylan-judelson,Defensive Midfielder,DM,midfielders,180 cm,41.0,18,Canada,Right,$57.4k,50000,€50k,,MLS,Eastern,MLS Next Pro,2026,,,6.94,9,757,3,0,,,,,,,,,,,,,,,,,3,0,,,6.94,9,9,,,,,,,,,,,,,,,,,,0.36,0.0,1.0,0.0,9.0,1,,,8,0,,428,89.9,32,62.7,4,1,,,3,75.0,31,53.4,1,33.3,567,8,3,13,31,14,8,3,15,52,,6,6,1,14,,1,0,757,0.12,,,0.95,0.0,,50.89,89.92,3.8,62.75,0.48,0.12,,,0.36,75.0,3.69,53.45,0.12,33.33,67.41,0.95,0.36,1.55,3.69,1.66,0.95,0.36,1.78,6.18,,0.71,0.71,0.12,1.66,,,3,,,0.36,,,,,,,,57350.0
964608,Iván Angulo,Orlando City,267810,https://www.fotmob.com/players/964608/iv-n-angulo,Left Midfielder,LM,midfielders,170 cm,77.0,27,Colombia,,$1.9m,1631857,€1.6m,2026-12-31,MLS,Eastern,Major League Soccer,2026,,,7.1,15,1289,2,0,,,,,,,,,,,,,,,,,2,0,,,7.10,15,14,,,,,,,,,,,,,,,,,,0.14,0.0,0.0,4.0,14.0,0,1.64,1.64,9,4,2.28,462,87.0,17,65.4,19,5,4,25.0,21,36.2,60,43.8,1,12.5,791,30,10,13,46,25,12,2,15,88,7,8,7,0,40,29.99,0,4,1289,0.0,0.11,0.11,0.63,0.28,0.16,32.26,87.01,1.19,65.38,1.33,0.35,0.28,25.0,1.47,36.21,4.19,43.8,0.07,12.5,55.23,2.09,0.7,0.91,3.21,1.75,0.84,0.14,1.05,6.14,0.49,0.56,0.49,0.0,2.79,2.09,0.91,5,1,0.06,0.35,0.07,,,,,,,1871739.98
1727842,Ignacio Gómez,Orlando City B,267810,https://www.fotmob.com/players/1727842/ignacio-g-mez,Defensive Midfielder,DM,midfielders,181 cm,80.0,20,Argentina,Right,$34.4k,30000,€30k,,MLS,Eastern,MLS Next Pro,2026,,,6.9,9,640,1,0,,,,,,,,,,,,,,,,,1,0,,,7.57,2,0,,,,,,,,,,,,,,,,,,,,2.0,0.0,8.0,2.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34410.0
1199714,Marco Pasalic,Orlando City,267810,https://www.fotmob.com/players/1199714/marco-pasalic,Right Midfielder,RM,midfielders,177 cm,87.0,25,Croatia,Left,$7.5m,6568028,€6.6m,2027-12-31,MLS,Eastern,Major League Soccer,2026,,,6.47,10,644,3,0,,,,,,,,,,,,,,,,,3,0,,,6.47,10,8,,,,,,,,,,,,,,,,,,0.42,0.0,2.0,0.0,8.0,2,1.01,1.01,12,0,0.80,156,80.8,7,38.9,5,,2,20.0,11,52.4,23,33.3,3,25.0,327,23,15,7,13,2,5,,8,15,2,7,6,0,25,18.59,2,0,644,0.28,0.14,0.14,1.68,0.0,0.11,21.8,80.83,0.98,38.89,0.7,,0.28,20.0,1.54,52.38,3.21,33.33,0.42,25.0,45.7,3.21,2.1,0.98,1.82,0.28,0.7,,1.12,2.1,0.28,0.98,0.84,0.0,3.49,2.6,1.05,4,,0.15,0.56,,,,,,,,7533528.12
184138,Antoine Griezmann,Orlando City,267810,https://www.fotmob.com/players/184138/antoine-griezmann,Striker,ST,attackers,174 cm,,35,France,Left,$10.2m,8851218,€8.9m,,MLS,Eastern,LaLiga,2025/2026,,,6.9,34,1468,1,0,,,,,,,,,,,,,,,,,1,0,,,6.90,34,13,,,,,,,,,,,,,,,,,,0.06,0.0,7.0,4.0,13.0,7,7.61,7.61,47,4,4.15,602,82.5,32,65.3,31,9,22,26.5,9,34.6,44,41.9,11,35.5,1052,79,9,10,37,14,8,2,4,64,10,11,13,2,21,26.29,7,4,1468,0.43,0.47,0.47,2.88,0.25,0.25,36.91,82.47,1.96,65.31,1.9,0.55,1.35,26.51,0.55,34.62,2.7,41.9,0.67,35.48,64.5,4.84,0.55,0.61,2.27,0.86,0.49,0.12,0.25,3.92,0.61,0.67,0.8,0.12,1.29,1.61,9.22,25,5,0.57,1.53,0.31,,,,,,,10152347.05
1681901,Pedro Leão,Orlando City B,267810,https://www.fotmob.com/players/1681901/pedro-le-o,Striker,ST,attackers,183 cm,90.0,19,Brazil,,$34.4k,30000,€30k,,MLS,Eastern,MLS Next Pro,2026,,,7.42,11,910,3,0,,,,,,,,,,,,,,,,,3,0,,,,1,0,,,,,,,,,,,,,,,,,,,,7.0,1.0,11.0,7.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34410.0
