player_id,name,team,team_id,url,position,position_short,position_group,height_cm,shirt,age,country,preferred_foot,market_value_usd,market_value_eur,market_value,contract_end,league_name,league_group,season_league,season_year,All Competitions - Clean sheets,All Competitions - Goals conceded,All Competitions - Saved penalties,All Competitions - Rating,All Competitions - Matches,All Competitions - Minutes played,All Competitions - Yellow cards,All Competitions - Red cards,Goalkeeping - Saves,Goalkeeping - Save percentage,Goalkeeping - Goals conceded,Goalkeeping - Goals prevented,Goalkeeping - Clean sheets,Goalkeeping - Penalty saves,Goalkeeping - Penalties conceded,Goalkeeping - Penalty save %,Goalkeeping - Error led to goal,Goalkeeping - Acted as sweeper,Goalkeeping - High claims,Distribution - Accurate passes,Distribution - Pass accuracy,Distribution - Accurate long balls,Distribution - Long ball accuracy,Distribution - xA,Discipline - Yellow cards,Discipline - Red cards,Selected Competition - Conceded,Selected Competition - Clean sheets,Selected Competition - Rating,Selected Competition - Matches,Selected Competition - Started,Selected Competition - Penalties saved,Goalkeeping - Saves (per90),Goalkeeping - Save percentage (per90),Goalkeeping - Goals conceded (per90),Goalkeeping - Goals prevented (per90),Goalkeeping - Clean sheets (per90),Goalkeeping - Penalty saves (per90),Goalkeeping - Penalties conceded (per90),Goalkeeping - Penalty save % (per90),Goalkeeping - Error led to goal (per90),Goalkeeping - Acted as sweeper (per90),Goalkeeping - High claims (per90),Distribution - Accurate passes (per90),Distribution - Pass accuracy (per90),Distribution - Accurate long balls (per90),Distribution - Long ball accuracy (per90),Distribution - xA (per90),Discipline - Yellow cards (per90),Discipline - Red cards (per90),All Competitions - Goals,All Competitions - Assists,All Competitions - Started,Selected Competition - Goals,Selected Competition - Assists,Selected Competition - Minutes,Shooting - Goals,Shooting - xG,Shooting - xGOT,Shooting - xG excl. penalty,Shooting - Shots,Shooting - Shots on target,Shooting - Headed shots,Passing - Assists,Passing - xA,Passing - Accurate passes,Passing - Pass accuracy,Passing - Accurate long balls,Passing - Long ball accuracy,Passing - Chances created,Passing - Big chances created,Passing - Successful crosses,Passing - Cross accuracy,Possession - Dribbles,Possession - Dribbles success rate,Possession - Duels won,Possession - Duels won %,Possession - Aerials won,Possession - Aerials won %,Possession - Touches,Possession - Touches in opposition box,Possession - Dispossessed,Possession - Fouls won,Defending - Defensive actions,Defending - Tackles,Defending - Interceptions,Defending - Blocked scoring attempt,Defending - Fouls committed,Defending - Recoveries,Defending - Possession won final 3rd,Defending - Dribbled past,Defending - Clearances,Defending - Clean sheets,Defending - Goals conceded while on pitch,Defending - xG against while on pitch,Shooting - Goals (per90),Shooting - xG (per90),Shooting - xGOT (per90),Shooting - xG excl. penalty (per90),Shooting - Shots (per90),Shooting - Shots on target (per90),Shooting - Headed shots (per90),Passing - Assists (per90),Passing - xA (per90),Passing - Accurate passes (per90),Passing - Pass accuracy (per90),Passing - Accurate long balls (per90),Passing - Long ball accuracy (per90),Passing - Chances created (per90),Passing - Big chances created (per90),Passing - Successful crosses (per90),Passing - Cross accuracy (per90),Possession - Dribbles (per90),Possession - Dribbles success rate (per90),Possession - Duels won (per90),Possession - Duels won % (per90),Possession - Aerials won (per90),Possession - Aerials won % (per90),Possession - Touches (per90),Possession - Touches in opposition box (per90),Possession - Dispossessed (per90),Possession - Fouls won (per90),Defending - Defensive actions (per90),Defending - Tackles (per90),Defending - Interceptions (per90),Defending - Blocked scoring attempt (per90),Defending - Fouls committed (per90),Defending - Recoveries (per90),Defending - Possession won final 3rd (per90),Defending - Dribbled past (per90),Defending - Clearances (per90),Defending - Clean sheets (per90),Defending - Goals conceded while on pitch (per90),Defending - xG against while on pitch (per90),Defending - Penalties conceded,Defending - Penalties conceded (per90),market_value_usd_raw
794408,Eduard Löwen,St. Louis City,1427963,https://www.fotmob.com/players/794408/eduard-l-wen,Central Midfielder,CM,midfielders,188 cm,10,29,Germany,Both,$1.8m,1610036,€1.6m,2026-12-31,MLS,Western,Major League Soccer,2026,,,,7.0,7,259,0,0,,,,,,,,,,,,,,,,,0,0,,,7.00,7,3,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,1.0,3.0,1,1,259,1,0.50,0.50,0.50,8,2,,1,0.70,131,86.8,9,64.3,5,2,3,37.5,4,66.7,16,53.3,3,75.0,206,7,5,5,13,5,3,,4,9,2,2,5,0,1,4.03,0.35,0.18,0.17,0.18,2.78,0.69,,0.35,0.24,45.52,86.75,3.13,64.29,1.74,0.69,1.04,37.5,1.39,66.67,5.56,53.33,1.04,75.0,71.58,2.43,1.74,1.74,4.52,1.74,1.04,,1.39,3.13,0.69,0.69,1.74,0.0,0.35,1.4,,,1846711.29
633617,Tomas Totland,St. Louis City,1427963,https://www.fotmob.com/players/633617/tomas-totland,Right Back,RB,midfielders,183 cm,14,26,Norway,Right,$593.3k,517220,€517.2k,2026-12-31,MLS,Western,Major League Soccer,2026,,,,7.02,10,514,1,0,,,,,,,,,,,,,,,,,1,0,,,7.02,10,5,,,,,,,,,,,,,,,,,,0.18,0.0,1.0,0.0,5.0,1,0,514,1,0.74,0.99,0.74,3,1,,0,0.50,147,86.0,6,60.0,7,,1,14.3,5,55.6,23,54.8,5,55.6,289,16,2,5,35,8,10,1,9,20,1,,16,2,9,8.12,0.18,0.13,0.17,0.13,0.53,0.18,,0.0,0.09,25.74,85.96,1.05,60.0,1.23,,0.18,14.29,0.88,55.56,4.03,54.76,0.88,55.56,50.6,2.8,0.35,0.88,6.13,1.4,1.75,0.18,1.58,3.5,0.18,,2.8,0.35,1.58,1.42,,,593251.34
726692,Marcel Hartel,St. Louis City,1427963,https://www.fotmob.com/players/726692/marcel-hartel,Attacking Midfielder,AM,midfielders,176 cm,17,30,Germany,Right,$2.5m,2201046,€2.2m,2028-06-30,MLS,Western,Major League Soccer,2026,,,,7.6,12,1079,0,0,,,,,,,,,,,,,,,,,0,0,,,7.60,12,12,,,,,,,,,,,,,,,,,,0.0,0.0,3.0,1.0,12.0,3,1,1079,3,3.69,4.64,3.69,43,18,,1,4.01,403,79.0,9,40.9,31,7,18,26.1,7,38.9,28,51.9,2,50.0,725,53,3,7,21,12,5,1,5,62,15,6,3,2,17,15.44,0.25,0.31,0.39,0.31,3.59,1.5,,0.08,0.33,33.61,79.02,0.75,40.91,2.59,0.58,1.5,26.09,0.58,38.89,2.34,51.85,0.17,50.0,60.47,4.42,0.25,0.58,1.75,1.0,0.42,0.08,0.42,5.17,1.25,0.5,0.25,0.17,1.42,1.29,,,2524599.76
970356,Rafael Santos,St. Louis City,1427963,https://www.fotmob.com/players/970356/rafael-santos,Left Wing-Back,LWB,midfielders,180 cm,20,28,Brazil,Left,$398.8k,347658,€347.7k,2027-06-30,MLS,Western,Major League Soccer,2026,,,,6.95,12,880,1,0,,,,,,,,,,,,,,,,,1,0,,,6.95,12,10,,,,,,,,,,,,,,,,,,0.1,0.0,1.0,1.0,10.0,1,1,880,1,0.89,1.28,0.89,13,7,,1,1.25,231,79.7,9,40.9,16,4,12,19.0,4,26.7,27,39.7,10,66.7,522,17,4,6,42,7,9,5,14,41,4,7,21,1,12,10.84,0.1,0.09,0.13,0.09,1.33,0.72,,0.1,0.13,23.62,79.66,0.92,40.91,1.64,0.41,1.23,19.05,0.41,26.67,2.76,39.71,1.02,66.67,53.39,1.74,0.41,0.61,4.3,0.72,0.92,0.51,1.43,4.19,0.41,0.72,2.15,0.1,1.23,1.11,,,398763.73
1170233,Daniel Edelman,St. Louis City,1427963,https://www.fotmob.com/players/1170233/daniel-edelman,Defensive Midfielder,DM,midfielders,175 cm,24,23,USA,Both,$2.1m,1866582,€1.9m,2029-06-30,MLS,Western,Major League Soccer,2026,,,,6.99,13,1074,1,0,,,,,,,,,,,,,,,,,1,0,,,6.99,13,12,,,,,,,,,,,,,,,,,,0.08,0.0,1.0,2.0,12.0,1,2,1074,1,0.51,0.55,0.51,7,1,,2,2.33,514,86.5,14,41.2,12,3,4,80.0,1,50.0,54,63.5,13,65.0,756,4,8,19,66,21,13,7,6,57,8,9,25,2,18,14.52,0.08,0.04,0.05,0.04,0.59,0.08,,0.17,0.2,43.07,86.53,1.17,41.18,1.01,0.25,0.34,80.0,0.08,50.0,4.53,63.53,1.09,65.0,63.35,0.34,0.67,1.59,5.53,1.76,1.09,0.59,0.5,4.78,0.67,0.75,2.09,0.17,1.51,1.22,,,2140969.55
1346875,Miguel Perez,St. Louis City,1427963,https://www.fotmob.com/players/1346875/miguel-perez,Defensive Midfielder,DM,midfielders,180 cm,28,21,USA,,$565.1k,492678,€492.7k,,MLS,Western,Major League Soccer,2026,,,,6.41,7,228,2,0,,,,,,,,,,,,,,,,,2,0,,,6.41,7,3,,,,,,,,,,,,,,,,,,0.79,0.0,0.0,0.0,3.0,0,0,228,0,0.26,0.21,0.26,5,1,,0,1.19,79,86.8,1,100.0,5,2,1,33.3,1,50.0,6,42.9,,,127,9,2,1,10,4,,,3,7,1,1,6,0,3,3.97,0.0,0.1,0.08,0.1,1.97,0.39,,0.0,0.47,31.18,86.81,0.39,100.0,1.97,0.79,0.39,33.33,0.39,50.0,2.37,42.86,,,50.13,3.55,0.79,0.39,3.95,1.58,,,1.18,2.76,0.39,0.39,2.37,0.0,1.18,1.57,,,565101.67
1421826,Caden Glover,St. Louis City 2,1427963,https://www.fotmob.com/players/1421826/caden-glover,Attacking Midfielder,AM,midfielders,188 cm,46,19,USA,,$1.3m,1163748,€1.2m,,MLS,Western,MLS Next Pro,2026,,,,6.04,3,46,0,0,,,,,,,,,,,,,,,,,0,0,,,6.04,3,1,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0,0,46,0,,,,1,,,0,,4,44.4,,,,,,,,,2,50.0,,,15,,0,1,2,1,,,1,,,,1,0,0,,0.0,,,,1.96,,,0.0,,7.83,44.44,,,,,,,,,3.91,50.0,,,29.35,,0.0,1.96,3.91,1.96,,,1.96,,,,1.96,0.0,0.0,,,,1334818.96
1370582,Simon Becher,St. Louis City,1427963,https://www.fotmob.com/players/1370582/simon-becher,Striker,ST,attackers,185 cm,11,26,USA,,$767.9k,669474,€669.5k,,MLS,Western,Major League Soccer,2026,,,,6.73,14,1081,1,0,,,,,,,,,,,,,,,,,1,0,,,6.73,14,13,,,,,,,,,,,,,,,,,,0.08,0.0,1.0,3.0,13.0,1,3,1081,1,4.22,2.64,4.22,29,7,8,3,1.07,167,70.2,7,100.0,16,4,,,9,34.6,65,41.4,30,44.8,427,68,14,18,20,9,,1,24,25,10,3,10,0,16,13.04,0.08,0.35,0.22,0.35,2.41,0.58,0.67,0.25,0.09,13.9,70.17,0.58,100.0,1.33,0.33,,,0.75,34.62,5.41,41.4,2.5,44.78,35.55,5.66,1.17,1.5,1.67,0.75,,0.08,2.0,2.08,0.83,0.25,0.83,0.0,1.33,1.09,,,767886.68
1346873,Célio Pompeu,St. Louis City,1427963,https://www.fotmob.com/players/1346873/c-lio-pompeu,Left Winger,LW,attackers,178 cm,12,26,Brazil,,$639.6k,557671,€557.7k,2026-12-31,MLS,Western,Major League Soccer,2026,,,,6.4,3,113,0,0,,,,,,,,,,,,,,,,,0,0,,,6.40,3,1,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0,0,113,0,0.15,0.17,0.15,5,2,,0,0.09,27,77.1,1,100.0,1,,2,22.2,2,50.0,9,45.0,1,20.0,72,9,4,2,6,4,,,,5,1,1,2,0,1,1.57,0.0,0.12,0.13,0.12,3.98,1.59,,0.0,0.07,21.5,77.14,0.8,100.0,0.8,,1.59,22.22,1.59,50.0,7.17,45.0,0.8,20.0,57.35,7.17,3.19,1.59,4.78,3.19,,,,3.98,0.8,0.8,1.59,0.0,0.8,1.25,,,639648.64
656530,Sergio Córdova,St. Louis City,1427963,https://www.fotmob.com/players/656530/sergio-c-rdova,Striker,ST,attackers,188 cm,16,28,Venezuela,Right,$1.3m,1144514,€1.1m,2029-06-30,MLS,Western,Major League Soccer,2026,,,,6.51,10,493,1,0,,,,,,,,,,,,,,,,,1,0,,,6.51,10,4,,,,,,,,,,,,,,,,,,0.18,0.0,1.0,0.0,4.0,1,0,493,1,0.49,1.29,0.49,7,2,1,0,0.15,78,69.6,1,16.7,2,,1,6.2,4,44.4,38,57.6,8,47.1,210,18,8,15,16,11,1,,7,18,1,,4,0,11,8.32,0.18,0.09,0.23,0.09,1.28,0.37,0.18,0.0,0.03,14.24,69.64,0.18,16.67,0.37,,0.18,6.25,0.73,44.44,6.94,57.58,1.46,47.06,38.34,3.29,1.46,2.74,2.92,2.01,0.18,,1.28,3.29,0.18,,0.73,0.0,2.01,1.52,,,1312757.56
