player_id,name,team,team_id,url,position,position_short,position_group,height_cm,shirt,age,country,preferred_foot,market_value_usd,market_value_eur,market_value,contract_end,league_name,league_group,season_league,season_year,All Competitions - Clean sheets,All Competitions - Goals conceded,All Competitions - Saved penalties,All Competitions - Rating,All Competitions - Matches,All Competitions - Minutes played,All Competitions - Yellow cards,All Competitions - Red cards,Goalkeeping - Saves,Goalkeeping - Save percentage,Goalkeeping - Goals conceded,Goalkeeping - Goals prevented,Goalkeeping - Clean sheets,Goalkeeping - Penalty saves,Goalkeeping - Penalties conceded,Goalkeeping - Penalty save %,Goalkeeping - Error led to goal,Goalkeeping - Acted as sweeper,Goalkeeping - High claims,Distribution - Accurate passes,Distribution - Pass accuracy,Distribution - Accurate long balls,Distribution - Long ball accuracy,Distribution - xA,Discipline - Yellow cards,Discipline - Red cards,Selected Competition - Conceded,Selected Competition - Clean sheets,Selected Competition - Rating,Selected Competition - Matches,Selected Competition - Started,Selected Competition - Penalties saved,Goalkeeping - Saves (per90),Goalkeeping - Save percentage (per90),Goalkeeping - Goals conceded (per90),Goalkeeping - Goals prevented (per90),Goalkeeping - Clean sheets (per90),Goalkeeping - Penalty saves (per90),Goalkeeping - Penalties conceded (per90),Goalkeeping - Penalty save % (per90),Goalkeeping - Error led to goal (per90),Goalkeeping - Acted as sweeper (per90),Goalkeeping - High claims (per90),Distribution - Accurate passes (per90),Distribution - Pass accuracy (per90),Distribution - Accurate long balls (per90),Distribution - Long ball accuracy (per90),Distribution - xA (per90),Discipline - Yellow cards (per90),Discipline - Red cards (per90),All Competitions - Goals,All Competitions - Assists,All Competitions - Started,Shooting - Goals,Shooting - xG,Shooting - xGOT,Shooting - xG excl. penalty,Shooting - Shots,Shooting - Shots on target,Shooting - Headed shots,Passing - Assists,Passing - xA,Passing - Accurate passes,Passing - Pass accuracy,Passing - Accurate long balls,Passing - Long ball accuracy,Passing - Chances created,Possession - Dribbles,Possession - Dribbles success rate,Possession - Duels won,Possession - Duels won %,Possession - Aerials won,Possession - Aerials won %,Possession - Touches,Possession - Touches in opposition box,Possession - Dispossessed,Possession - Fouls won,Possession - Penalties awarded,Defending - Defensive actions,Defending - Tackles,Defending - Interceptions,Defending - Blocked scoring attempt,Defending - Fouls committed,Defending - Recoveries,Defending - Dribbled past,Defending - Clearances,Defending - Clean sheets,Defending - Goals conceded while on pitch,Defending - xG against while on pitch,Selected Competition - Goals,Selected Competition - Assists,Selected Competition - Minutes,Shooting - Goals (per90),Shooting - xG (per90),Shooting - xGOT (per90),Shooting - xG excl. penalty (per90),Shooting - Shots (per90),Shooting - Shots on target (per90),Shooting - Headed shots (per90),Passing - Assists (per90),Passing - xA (per90),Passing - Accurate passes (per90),Passing - Pass accuracy (per90),Passing - Accurate long balls (per90),Passing - Long ball accuracy (per90),Passing - Chances created (per90),Possession - Dribbles (per90),Possession - Dribbles success rate (per90),Possession - Duels won (per90),Possession - Duels won % (per90),Possession - Aerials won (per90),Possession - Aerials won % (per90),Possession - Touches (per90),Possession - Touches in opposition box (per90),Possession - Dispossessed (per90),Possession - Fouls won (per90),Possession - Penalties awarded (per90),Defending - Defensive actions (per90),Defending - Tackles (per90),Defending - Interceptions (per90),Defending - Blocked scoring attempt (per90),Defending - Fouls committed (per90),Defending - Recoveries (per90),Defending - Dribbled past (per90),Defending - Clearances (per90),Defending - Clean sheets (per90),Defending - Goals conceded while on pitch (per90),Defending - xG against while on pitch (per90),Passing - Big chances created,Passing - Successful crosses,Passing - Cross accuracy,Defending - Possession won final 3rd,Passing - Big chances created (per90),Passing - Successful crosses (per90),Passing - Cross accuracy (per90),Defending - Possession won final 3rd (per90),Defending - Penalties conceded,Defending - Penalties conceded (per90),Shooting - Penalty goals,Shooting - Penalty goals (per90),market_value_usd_raw
924454,Brandon Servania,DC United,6602,https://www.fotmob.com/players/924454/brandon-servania,Central Midfielder,CM,midfielders,178 cm,23.0,27,Puerto Rico,,$398.2k,347161,€347.2k,2026-12-31,MLS,Eastern,Major League Soccer,2026,,,,6.78,14,1195,2,0,,,,,,,,,,,,,,,,,2,0,,,6.78,14,14,,,,,,,,,,,,,,,,,,0.15,0.0,0.0,0.0,14.0,0,0.49,0.48,0.49,14,5,,0,0.34,257,74.5,14,37.8,8,3,25.0,65,51.6,8,26.7,555,10,8,16,,73,38,14,3,11,50,11,18,2,24,16.61,0,0,1195,0.0,0.04,0.04,0.04,1.05,0.38,,0.0,0.03,19.36,74.49,1.05,37.84,0.6,0.23,25.0,4.9,51.59,0.6,26.67,41.8,0.75,0.6,1.21,,5.5,2.86,1.05,0.23,0.83,3.77,0.83,1.36,0.15,1.81,1.25,,2,16.7,3,,0.15,16.67,0.23,,,,,398193.67
1280734,Jackson Hopkins,DC United,6602,https://www.fotmob.com/players/1280734/jackson-hopkins,Central Midfielder,CM,midfielders,188 cm,25.0,21,USA,,$1.3m,1170219,€1.2m,2026-12-31,MLS,Eastern,Major League Soccer,2026,,,,6.83,15,1090,3,0,,,,,,,,,,,,,,,,,3,0,,,6.83,15,13,,,,,,,,,,,,,,,,,,0.25,0.0,2.0,1.0,13.0,2,2.52,2.84,2.52,20,11,2,1,1.53,210,76.4,11,61.1,14,14,48.3,65,44.5,15,34.1,508,38,18,14,,35,22,4,3,18,49,4,6,0,20,16.07,2,1,1090,0.17,0.21,0.23,0.21,1.65,0.91,0.17,0.08,0.13,17.34,76.36,0.91,61.11,1.16,1.16,48.28,5.37,44.52,1.24,34.09,41.94,3.14,1.49,1.16,,2.89,1.82,0.33,0.25,1.49,4.05,0.33,0.5,0.0,1.65,1.33,2,7,18.4,12,0.17,0.58,18.42,0.99,1,0.08,,,1342241.19
1347570,Gavin Turner,DC United,6602,https://www.fotmob.com/players/1347570/gavin-turner,Attacking Midfielder,AM,midfielders,173 cm,48.0,19,USA,,$91.8k,80000,€80k,,MLS,Eastern,Major League Soccer,2026,,,,6.24,3,43,0,0,,,,,,,,,,,,,,,,,0,0,,,6.24,3,0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91760.0
1613510,Hosei Kijima,DC United,6602,https://www.fotmob.com/players/1613510/hosei-kijima,Right Midfielder,RM,midfielders,178 cm,77.0,23,Japan,,$258.2k,225112,€225.1k,2026-12-31,MLS,Eastern,Major League Soccer,2026,,,,6.02,3,58,0,0,,,,,,,,,,,,,,,,,0,0,,,6.02,3,1,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0,0.03,0.06,0.03,1,1,,0,0.03,7,87.5,,,1,1,50.0,3,30.0,,,23,3,5,1,,1,1,,,,5,1,,0,0,0.68,0,0,58,0.0,0.04,0.09,0.04,1.55,1.55,,0.0,0.04,10.86,87.5,,,1.55,1.55,50.0,4.66,30.0,,,35.69,4.66,7.76,1.55,,1.55,1.55,,,,7.76,1.55,,0.0,0.0,1.06,,,,1,,,,1.55,,,,,258203.46
949675,Jared Stroud,DC United,6602,https://www.fotmob.com/players/949675/jared-stroud,Right Midfielder,RM,attackers,178 cm,8.0,29,USA,,$808.9k,705257,€705.3k,2026-12-31,MLS,Eastern,Major League Soccer,2026,,,,6.7,9,347,2,0,,,,,,,,,,,,,,,,,2,0,,,6.70,9,4,,,,,,,,,,,,,,,,,,0.52,0.0,1.0,0.0,4.0,1,0.34,1.09,0.34,7,6,,0,0.68,57,68.7,3,25.0,6,1,25.0,17,37.0,1,20.0,185,7,3,8,,17,7,3,1,12,26,8,6,0,7,5.79,1,0,347,0.26,0.09,0.28,0.09,1.82,1.56,,0.0,0.18,14.78,68.67,0.78,25.0,1.56,0.26,25.0,4.41,36.96,0.26,20.0,47.98,1.82,0.78,2.07,,4.41,1.82,0.78,0.26,3.11,6.74,2.07,1.56,0.0,1.82,1.5,1,2,11.1,2,0.26,0.52,11.11,0.52,,,,,808929.78
939140,Tai Baribo,DC United,6602,https://www.fotmob.com/players/939140/tai-baribo,Striker,ST,attackers,181 cm,9.0,28,Israel,Right,$5.2m,4530500,€4.5m,2030-06-30,MLS,Eastern,Major League Soccer,2026,,,,7.15,12,924,1,0,,,,,,,,,,,,,,,,,1,0,,,7.15,12,11,,,,,,,,,,,,,,,,,,0.1,0.0,8.0,0.0,11.0,8,6.51,6.46,4.93,24,11,7,0,0.94,163,76.5,3,75.0,7,4,40.0,61,40.1,31,36.9,358,44,9,12,,23,14,4,,18,23,6,5,3,15,11.18,8,0,924,0.78,0.63,0.63,0.48,2.34,1.07,0.68,0.0,0.09,15.88,76.53,0.29,75.0,0.68,0.39,40.0,5.94,40.13,3.02,36.9,34.87,4.29,0.88,1.17,,2.24,1.36,0.39,,1.75,2.24,0.58,0.49,0.29,1.46,1.09,,,,3,,,,0.29,,,2,0.19,5196483.5
1202616,Gabriel Pirani,DC United,6602,https://www.fotmob.com/players/1202616/gabriel-pirani,Striker,ST,attackers,167 cm,10.0,24,Brazil,,$1.4m,1251713,€1.3m,2026-12-31,MLS,Eastern,Major League Soccer,2026,,,,6.07,7,474,1,0,,,,,,,,,,,,,,,,,1,0,,,6.07,7,6,,,,,,,,,,,,,,,,,,0.19,0.0,0.0,0.0,6.0,0,0.22,0.05,0.22,5,2,,0,0.17,99,78.0,,,5,1,9.1,17,26.6,,,208,13,12,12,,6,4,1,,11,26,5,1,0,7,4.26,0,0,474,0.0,0.04,0.01,0.04,0.95,0.38,,0.0,0.03,18.8,77.95,,,0.95,0.19,9.09,3.23,26.56,,,39.49,2.47,2.28,2.28,,1.14,0.76,0.19,,2.09,4.94,0.95,0.19,0.0,1.33,0.81,,2,66.7,2,,0.38,66.67,0.38,,,,,1435714.81
1037813,Louis Munteanu,DC United,6602,https://www.fotmob.com/players/1037813/louis-munteanu,Striker,ST,attackers,184 cm,11.0,24,Romania,Right,$7.1m,6213231,€6.2m,2029-06-30,MLS,Eastern,Major League Soccer,2026,,,,6.73,11,641,1,0,,,,,,,,,,,,,,,,,1,0,,,6.73,11,6,,,,,,,,,,,,,,,,,,0.14,0.0,5.0,1.0,6.0,5,3.58,4.08,2.80,32,12,6,0,0.57,95,69.9,5,45.5,4,,,29,33.3,11,32.4,249,35,11,15,,6,3,2,,16,21,4,1,0,14,12.11,5,0,641,0.7,0.5,0.57,0.39,4.49,1.68,0.84,0.0,0.08,13.34,69.85,0.7,45.45,0.56,,,4.07,33.33,1.54,32.35,34.96,4.91,1.54,2.11,,0.84,0.42,0.28,,2.25,2.95,0.56,0.14,0.0,1.97,1.7,,1,9.1,2,,0.14,9.09,0.28,,,1,0.14,7126575.96
1440015,Gabriel Segal,DC United,6602,https://www.fotmob.com/players/1440015/gabriel-segal,forward,,attackers,178 cm,14.0,25,USA,,$250.3k,218233,€218.2k,2027-06-30,MLS,Eastern,Major League Soccer,2025,,,,7.08,11,146,0,0,,,,,,,,,,,,,,,,,0,0,,,7.08,11,1,,,,,,,,,,,,,,,,,,0.0,0.0,2.0,0.0,1.0,2,2.76,2.34,1.97,11,3,,0,0.04,37,71.2,1,100.0,2,,,11,39.3,6,46.2,88,14,4,2,,9,3,1,,5,2,,,1,3,2.28,2,0,146,1.23,1.7,1.44,1.22,6.78,1.85,,0.0,0.02,22.81,71.15,0.62,100.0,1.23,,,6.78,39.29,3.7,46.15,54.25,8.63,2.47,1.23,,5.55,1.85,0.62,,3.08,1.23,,,0.62,1.85,1.4,,,,,,,,,,,1,0.62,250313.25
1610225,Jacob Murrell,DC United,6602,https://www.fotmob.com/players/1610225/jacob-murrell,forward,,attackers,188 cm,17.0,22,USA,,$276.6k,241160,€241.2k,2026-12-31,MLS,Eastern,Major League Soccer,2026,,,,6.34,8,67,1,0,,,,,,,,,,,,,,,,,1,0,,,6.34,8,0,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276610.52
1171305,Caden Clark,DC United,6602,https://www.fotmob.com/players/1171305/caden-clark,Left Winger,LW,attackers,180 cm,30.0,23,USA,Right,$877.8k,765324,€765.3k,2026-12-31,MLS,Eastern,Major League Soccer,2026,,,,6.32,7,82,1,0,,,,,,,,,,,,,,,,,1,0,,,6.32,7,0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,877826.63
