player_id,name,team,team_id,url,position,position_short,position_group,height_cm,shirt,age,country,preferred_foot,market_value_usd,market_value_eur,market_value,contract_end,league_name,league_group,season_league,season_year,All Competitions - Goals conceded,All Competitions - Rating,All Competitions - Matches,All Competitions - Minutes played,All Competitions - Yellow cards,All Competitions - Red cards,Goalkeeping - Saves,Goalkeeping - Save percentage,Goalkeeping - Goals conceded,Goalkeeping - Goals prevented,Goalkeeping - Clean sheets,Goalkeeping - Error led to goal,Goalkeeping - Acted as sweeper,Distribution - Accurate passes,Distribution - Pass accuracy,Distribution - Accurate long balls,Distribution - Long ball accuracy,Distribution - xA,Discipline - Yellow cards,Discipline - Red cards,Selected Competition - Conceded,Selected Competition - Clean sheets,Selected Competition - Rating,Selected Competition - Matches,Selected Competition - Started,Selected Competition - Penalties saved,Goalkeeping - Saves (per90),Goalkeeping - Save percentage (per90),Goalkeeping - Goals conceded (per90),Goalkeeping - Goals prevented (per90),Goalkeeping - Clean sheets (per90),Goalkeeping - Error led to goal (per90),Goalkeeping - Acted as sweeper (per90),Distribution - Accurate passes (per90),Distribution - Pass accuracy (per90),Distribution - Accurate long balls (per90),Distribution - Long ball accuracy (per90),Distribution - xA (per90),Discipline - Yellow cards (per90),Discipline - Red cards (per90),All Competitions - Saved penalties,Goalkeeping - Penalty saves,Goalkeeping - Penalties conceded,Goalkeeping - Penalty save %,Goalkeeping - High claims,Goalkeeping - Penalty saves (per90),Goalkeeping - Penalties conceded (per90),Goalkeeping - Penalty save % (per90),Goalkeeping - High claims (per90),All Competitions - Clean sheets,All Competitions - Goals,All Competitions - Assists,All Competitions - Started,Selected Competition - Goals,Selected Competition - Assists,Selected Competition - Minutes,Shooting - Goals,Shooting - Shots,Passing - Assists,Passing - xA,Passing - Accurate passes,Passing - Pass accuracy,Passing - Accurate long balls,Passing - Long ball accuracy,Possession - Duels won,Possession - Duels won %,Possession - Aerials won,Possession - Aerials won %,Possession - Touches,Possession - Dispossessed,Possession - Fouls won,Defending - Defensive actions,Defending - Blocked scoring attempt,Defending - Fouls committed,Defending - Penalties conceded,Defending - Recoveries,Defending - Clean sheets,Defending - Goals conceded while on pitch,Defending - xG against while on pitch,Shooting - Goals (per90),Shooting - Shots (per90),Passing - Assists (per90),Passing - xA (per90),Passing - Accurate passes (per90),Passing - Pass accuracy (per90),Passing - Accurate long balls (per90),Passing - Long ball accuracy (per90),Possession - Duels won (per90),Possession - Duels won % (per90),Possession - Aerials won (per90),Possession - Aerials won % (per90),Possession - Touches (per90),Possession - Dispossessed (per90),Possession - Fouls won (per90),Defending - Defensive actions (per90),Defending - Blocked scoring attempt (per90),Defending - Fouls committed (per90),Defending - Penalties conceded (per90),Defending - Recoveries (per90),Defending - Clean sheets (per90),Defending - Goals conceded while on pitch (per90),Defending - xG against while on pitch (per90),Shooting - xG,Shooting - xG excl. penalty,Shooting - Headed shots,Passing - Chances created,Passing - Successful crosses,Passing - Cross accuracy,Possession - Touches in opposition box,Defending - Tackles,Defending - Interceptions,Defending - Possession won final 3rd,Defending - Dribbled past,Defending - Clearances,Shooting - xG (per90),Shooting - xG excl. penalty (per90),Shooting - Headed shots (per90),Passing - Chances created (per90),Passing - Successful crosses (per90),Passing - Cross accuracy (per90),Possession - Touches in opposition box (per90),Defending - Tackles (per90),Defending - Interceptions (per90),Defending - Possession won final 3rd (per90),Defending - Dribbled past (per90),Defending - Clearances (per90),Possession - Dribbles,Possession - Dribbles success rate,Possession - Dribbles (per90),Possession - Dribbles success rate (per90),Shooting - xGOT,Shooting - Shots on target,Passing - Big chances created,Shooting - xGOT (per90),Shooting - Shots on target (per90),Passing - Big chances created (per90),Shooting - Penalty goals,Shooting - Penalty goals (per90),Possession - Penalties awarded,Possession - Penalties awarded (per90),market_value_usd_raw
835948,Onni Valakari,San Diego FC,1701119,https://www.fotmob.com/players/835948/onni-valakari,Central Midfielder,CM,midfielders,187 cm,8,26,Finland,Left,$4.2m,3633135,€3.6m,,MLS,Western,Major League Soccer,2026,,7.28,15,1262,0,0,,,,,,,,,,,,,0,0,,,7.28,15,15,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,3.0,3.0,15.0,3,3,1262,3,17,3,2.20,702,87.3,17,51.5,69,57.5,2,18.2,1010,14,33,40,3,11,,67,1,26,29.00,0.21,1.21,0.21,0.16,50.06,87.31,1.21,51.52,4.92,57.5,0.14,18.18,72.03,1.0,2.35,2.85,0.21,0.78,,4.78,0.07,1.85,2.07,2.76,1.97,2,12,1,11.1,37,26,6,12,14,5,0.2,0.14,0.14,0.86,0.07,11.11,2.64,1.85,0.43,0.86,1.0,0.36,8,66.7,0.57,66.67,3.70,8,2,0.26,0.57,0.14,1,0.07,,,4167205.84
1708148,Pedro Soma,San Diego FC,1701119,https://www.fotmob.com/players/1708148/pedro-soma,Central Midfielder,CM,midfielders,,15,19,USA,Both,$863.5k,752803,€752.8k,2027-12-31,MLS,Western,Major League Soccer,2026,,6.57,9,400,2,0,,,,,,,,,,,,,2,0,,,6.57,9,4,,,,,,,,,,,,,,0.45,0.0,,,,,,,,,,,1.0,2.0,4.0,1,2,400,1,3,2,0.72,429,93.5,20,71.4,10,31.2,1,20.0,498,3,3,11,,12,,22,0,7,6.99,0.22,0.68,0.45,0.16,96.52,93.46,4.5,71.43,2.25,31.25,0.22,20.0,112.05,0.68,0.68,2.48,,2.7,,4.95,0.0,1.58,1.57,0.10,0.10,,3,1,100.0,,6,3,2,3,2,0.02,0.02,,0.68,0.22,100.0,,1.35,0.68,0.45,0.68,0.45,,,,,0.28,1,1,0.06,0.22,0.22,,,,,863465.04
1464483,David Vazquez,San Diego FC,1701119,https://www.fotmob.com/players/1464483/david-vazquez,Central Midfielder,CM,midfielders,,19,20,USA,,$1.3m,1129916,€1.1m,2027-12-31,MLS,Western,Major League Soccer,2026,,6.63,14,742,3,0,,,,,,,,,,,,,3,0,,,6.63,14,9,,,,,,,,,,,,,,0.36,0.0,,,,,,,,,,,3.0,0.0,9.0,3,0,742,3,16,0,0.96,266,82.9,7,58.3,36,37.1,3,33.3,488,17,4,28,1,23,,33,1,13,13.92,0.36,1.94,0.0,0.12,32.26,82.87,0.85,58.33,4.37,37.11,0.36,33.33,59.19,2.06,0.49,3.4,0.12,2.79,,4.0,0.12,1.58,1.69,2.30,2.30,2,6,5,25.0,42,21,5,7,8,1,0.28,0.28,0.24,0.73,0.61,25.0,5.09,2.55,0.61,0.85,0.97,0.12,8,47.1,0.97,47.06,2.58,5,1,0.31,0.61,0.12,,,1,0.12,1296013.65
308131,Aníbal Godoy,San Diego FC,1701119,https://www.fotmob.com/players/308131/an-bal-godoy,Central Midfielder,CM,midfielders,183 cm,20,36,Panama,Left,$87.3k,76121,€76.1k,2026-12-31,MLS,Western,Major League Soccer,2026,,6.82,14,797,3,0,,,,,,,,,,,,,3,0,,,6.82,14,10,,,,,,,,,,,,,,0.34,0.0,,,,,,,,,,,0.0,1.0,10.0,0,1,797,0,1,1,0.70,863,93.3,20,76.9,46,51.7,3,30.0,1042,11,19,31,1,15,,49,0,16,15.72,0.0,0.11,0.11,0.08,97.45,93.3,2.26,76.92,5.19,51.69,0.34,30.0,117.67,1.24,2.15,3.5,0.11,1.69,,5.53,0.0,1.81,1.78,0.07,0.07,,3,,,5,19,8,6,6,3,0.01,0.01,,0.34,,,0.56,2.15,0.9,0.68,0.68,0.34,5,55.6,0.56,55.56,,,1,,,0.11,,,,,87310.79
1134447,Bryce Duke,San Diego FC,1701119,https://www.fotmob.com/players/1134447/bryce-duke,Attacking Midfielder,AM,midfielders,170 cm,21,25,USA,,$885.8k,772302,€772.3k,,MLS,Western,Major League Soccer,2026,,5.49,4,75,1,0,,,,,,,,,,,,,1,0,,,5.49,4,1,,,,,,,,,,,,,,1.2,0.0,,,,,,,,,,,0.0,0.0,1.0,0,0,75,0,0,0,0.20,34,77.3,,,1,12.5,,,57,0,,2,,4,,4,0,5,5.23,0.0,0.0,0.0,0.23,40.8,77.27,,,1.2,12.5,,,68.4,0.0,,2.4,,4.8,,4.8,0.0,6.0,6.28,,,,1,,,1,1,,,2,1,,,,1.2,,,1.2,1.2,,,2.4,1.2,,,,,,,1,,,1.2,,,,,885830.39
1188588,Alejandro Alvarado,San Diego FC,1701119,https://www.fotmob.com/players/1188588/alejandro-alvarado,midfielder,,midfielders,173 cm,70,22,USA,Right,$213.7k,186334,€186.3k,2026-12-31,MLS,Western,Major League Soccer,2026,,6.69,6,51,0,0,,,,,,,,,,,,,0,0,,,6.69,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0,0,51,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213725.1
443733,Marcus Ingvartsen,San Diego FC,1701119,https://www.fotmob.com/players/443733/marcus-ingvartsen,Striker,ST,attackers,182 cm,7,30,Denmark,Left,$1.9m,1647581,€1.6m,2027-12-31,MLS,Western,Major League Soccer,2026,,7.41,15,1114,1,0,,,,,,,,,,,,,1,0,,,7.41,15,13,,,,,,,,,,,,,,0.08,0.0,,,,,,,,,,,11.0,2.0,13.0,11,2,1114,11,36,2,1.45,235,78.3,4,33.3,51,41.5,23,51.1,471,16,14,22,,18,,21,1,23,26.22,0.89,2.91,0.16,0.12,18.99,78.33,0.32,33.33,4.12,41.46,1.86,51.11,38.05,1.29,1.13,1.78,,1.45,,1.7,0.08,1.86,2.12,5.57,4.78,7,11,1,50.0,78,7,5,10,8,10,0.45,0.39,0.57,0.89,0.08,50.0,6.3,0.57,0.4,0.81,0.65,0.81,8,50.0,0.65,50.0,8.12,16,2,0.66,1.29,0.16,1,0.08,,,1889775.41
520462,Lewis Morgan,San Diego FC,1701119,https://www.fotmob.com/players/520462/lewis-morgan,Striker,ST,attackers,178 cm,9,29,Scotland,Both,$741.5k,646480,€646.5k,2026-12-31,MLS,Western,Major League Soccer,2026,,6.19,8,351,0,0,,,,,,,,,,,,,0,0,,,6.19,8,4,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,2.0,4.0,0,2,351,0,8,2,1.23,79,80.6,2,33.3,5,33.3,1,33.3,142,4,1,3,,2,,9,0,14,11.77,0.0,2.05,0.51,0.31,20.26,80.61,0.51,33.33,1.28,33.33,0.26,33.33,36.41,1.03,0.26,0.77,,0.51,,2.31,0.0,3.59,3.02,0.72,0.72,,4,2,22.2,14,2,,,,1,0.18,0.18,,1.03,0.51,22.22,3.59,0.51,,,,0.26,1,33.3,0.26,33.33,0.33,1,2,0.08,0.26,0.51,,,,,741512.56
641344,Anders Dreyer,San Diego FC,1701119,https://www.fotmob.com/players/641344/anders-dreyer,Right Winger,RW,attackers,173 cm,10,28,Denmark,Left,$15.8m,13739687,€13.7m,2029-12-31,MLS,Western,Major League Soccer,2026,,7.86,15,1284,0,0,,,,,,,,,,,,,0,0,,,7.86,15,14,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,6.0,7.0,14.0,6,7,1284,6,47,7,4.79,656,84.0,26,52.0,22,47.8,1,33.3,1021,8,9,10,1,1,,37,3,25,28.51,0.42,3.29,0.49,0.34,45.98,83.99,1.82,52.0,1.54,47.83,0.07,33.33,71.57,0.56,0.63,0.7,0.07,0.07,,2.59,0.21,1.75,2.0,6.67,5.10,,38,30,35.7,86,2,4,4,6,3,0.47,0.36,,2.66,2.1,35.71,6.03,0.14,0.28,0.28,0.42,0.21,10,58.8,0.7,58.82,9.14,24,6,0.64,1.68,0.42,2,0.14,1,0.07,15759420.99
521210,Hirving Lozano,San Diego FC,1701119,https://www.fotmob.com/players/521210/hirving-lozano,Left Winger,LW,attackers,176 cm,11,30,Mexico,Right,$5.1m,4458910,€4.5m,2028-12-31,MLS,Western,Major League Soccer,2025,,7.3,31,1956,7,0,,,,,,,,,,,,,7,0,,,7.30,31,22,,,,,,,,,,,,,,0.32,0.0,,,,,,,,,,,11.0,9.0,22.0,11,9,1956,11,96,9,4.96,518,77.3,23,46.0,149,49.2,12,52.2,1274,40,65,41,2,47,,60,0,23,28.69,0.51,4.42,0.41,0.23,23.83,77.31,1.06,46.0,6.86,49.17,0.55,52.17,58.62,1.84,2.99,1.89,0.09,2.16,,2.76,0.0,1.06,1.32,10.54,8.96,4,38,30,27.8,113,28,8,13,13,3,0.48,0.41,0.18,1.75,1.38,27.78,5.2,1.29,0.37,0.6,0.6,0.14,45,50.0,2.07,50.0,11.64,31,8,0.54,1.43,0.37,2,0.09,,,5114369.77
