player_id,name,team,team_id,url,position,position_short,position_group,height_cm,shirt,age,country,preferred_foot,market_value_usd,market_value_eur,market_value,contract_end,league_name,league_group,season_league,season_year,All Competitions - Goals conceded,All Competitions - Rating,All Competitions - Matches,All Competitions - Minutes played,All Competitions - Yellow cards,All Competitions - Red cards,Goalkeeping - Saves,Goalkeeping - Save percentage,Goalkeeping - Goals conceded,Goalkeeping - Clean sheets,Goalkeeping - Error led to goal,Goalkeeping - Acted as sweeper,Goalkeeping - High claims,Distribution - Accurate passes,Distribution - Pass accuracy,Distribution - Accurate long balls,Distribution - Long ball accuracy,Discipline - Yellow cards,Discipline - Red cards,Selected Competition - Conceded,Selected Competition - Clean sheets,Selected Competition - Rating,Selected Competition - Matches,Selected Competition - Started,Selected Competition - Penalties saved,Goalkeeping - Saves (per90),Goalkeeping - Save percentage (per90),Goalkeeping - Goals conceded (per90),Goalkeeping - Clean sheets (per90),Goalkeeping - Error led to goal (per90),Goalkeeping - Acted as sweeper (per90),Goalkeeping - High claims (per90),Distribution - Accurate passes (per90),Distribution - Pass accuracy (per90),Distribution - Accurate long balls (per90),Distribution - Long ball accuracy (per90),Discipline - Yellow cards (per90),Discipline - Red cards (per90),All Competitions - Clean sheets,Distribution - Chances created,Distribution - Chances created (per90),All Competitions - Saved penalties,Goalkeeping - Goals prevented,Goalkeeping - Penalty saves,Goalkeeping - Penalties conceded,Goalkeeping - Penalty save %,Distribution - xA,Goalkeeping - Goals prevented (per90),Goalkeeping - Penalty saves (per90),Goalkeeping - Penalties conceded (per90),Goalkeeping - Penalty save % (per90),Distribution - xA (per90),All Competitions - Goals,All Competitions - Assists,All Competitions - Started,Shooting - Goals,Shooting - Shots,Passing - Assists,Passing - xA,Passing - Accurate passes,Passing - Pass accuracy,Passing - Accurate long balls,Passing - Long ball accuracy,Passing - Chances created,Possession - Dribbles,Possession - Dribbles success rate,Possession - Duels won,Possession - Duels won %,Possession - Aerials won,Possession - Aerials won %,Possession - Touches,Possession - Touches in opposition box,Possession - Dispossessed,Possession - Fouls won,Defending - Defensive actions,Defending - Tackles,Defending - Interceptions,Defending - Blocked scoring attempt,Defending - Fouls committed,Defending - Recoveries,Defending - Dribbled past,Defending - Clearances,Defending - Clean sheets,Defending - Goals conceded while on pitch,Defending - xG against while on pitch,Selected Competition - Goals,Selected Competition - Assists,Selected Competition - Minutes,Shooting - Goals (per90),Shooting - Shots (per90),Passing - Assists (per90),Passing - xA (per90),Passing - Accurate passes (per90),Passing - Pass accuracy (per90),Passing - Accurate long balls (per90),Passing - Long ball accuracy (per90),Passing - Chances created (per90),Possession - Dribbles (per90),Possession - Dribbles success rate (per90),Possession - Duels won (per90),Possession - Duels won % (per90),Possession - Aerials won (per90),Possession - Aerials won % (per90),Possession - Touches (per90),Possession - Touches in opposition box (per90),Possession - Dispossessed (per90),Possession - Fouls won (per90),Defending - Defensive actions (per90),Defending - Tackles (per90),Defending - Interceptions (per90),Defending - Blocked scoring attempt (per90),Defending - Fouls committed (per90),Defending - Recoveries (per90),Defending - Dribbled past (per90),Defending - Clearances (per90),Defending - Clean sheets (per90),Defending - Goals conceded while on pitch (per90),Defending - xG against while on pitch (per90),Shooting - xG,Shooting - xGOT,Shooting - xG excl. penalty,Shooting - Shots on target,Shooting - Headed shots,Passing - Big chances created,Passing - Successful crosses,Passing - Cross accuracy,Defending - Penalties conceded,Shooting - xG (per90),Shooting - xGOT (per90),Shooting - xG excl. penalty (per90),Shooting - Shots on target (per90),Shooting - Headed shots (per90),Passing - Big chances created (per90),Passing - Successful crosses (per90),Passing - Cross accuracy (per90),Defending - Penalties conceded (per90),Possession - Penalties awarded,Defending - Possession won final 3rd,Possession - Penalties awarded (per90),Defending - Possession won final 3rd (per90),market_value_usd_raw
1200658,Jimer Fory,Portland Timbers,307690,https://www.fotmob.com/players/1200658/jimer-fory,Left Back,LB,defenders,187 cm,27,24,Colombia,Left,$1.8m,1579696,€1.6m,,MLS,Western,Major League Soccer,2026,,6.78,13,1070,3,1,,,,,,,,,,,,3,1,,,6.78,13,13,,,,,,,,,,,,,0.25,0.08,,,,,,,,,,,,,,,0.0,0.0,13.0,0,3,0,0.72,559,88.2,14,42.4,4,4,44.4,51,53.7,21,65.6,885,4,3,8,107,19,32,5,17,71,10,51,0,24,23.62,0,0,1070,0.0,0.25,0.0,0.06,47.02,88.17,1.18,42.42,0.34,0.34,44.44,4.29,53.68,1.77,65.62,74.44,0.34,0.25,0.67,9.0,1.6,2.69,0.42,1.43,5.97,0.84,4.29,0.0,2.02,1.99,0.23,,0.23,,2,2,5,22.7,,0.02,,0.02,,0.17,0.17,0.42,22.73,,,3,,0.25,1811911.31
1137454,Juan Mosquera,Portland Timbers,307690,https://www.fotmob.com/players/1137454/juan-mosquera,Right Back,RB,defenders,180 cm,29,23,Colombia,Right,$2.4m,2106816,€2.1m,2027-12-31,MLS,Western,Major League Soccer,2026,,7.28,3,68,0,0,,,,,,,,,,,,0,0,,,7.28,3,1,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,1.0,1.0,1.0,1,2,1,0.24,31,91.2,2,100.0,1,,,6,54.5,2,100.0,57,2,0,1,5,3,,,3,5,1,2,0,1,1.61,1,1,68,1.32,2.65,1.32,0.32,41.03,91.18,2.65,100.0,1.32,,,7.94,54.55,2.65,100.0,75.44,2.65,0.0,1.32,6.62,3.97,,,3.97,6.62,1.32,2.65,0.0,1.32,2.12,0.19,0.76,0.19,2,,1,,,,0.25,1.0,0.25,2.65,,1.32,,,,,,,,2416517.95
564832,Ariel Lassiter,Portland Timbers,307690,https://www.fotmob.com/players/564832/ariel-lassiter,midfielder,,midfielders,178 cm,7,31,Costa Rica,Both,$153.1k,133478,€133.5k,2026-12-31,MLS,Western,Major League Soccer,2026,,6.77,9,178,1,0,,,,,,,,,,,,1,0,,,6.77,9,1,,,,,,,,,,,,,0.51,0.0,,,,,,,,,,,,,,,2.0,1.0,1.0,2,6,1,0.57,61,81.3,3,75.0,2,1,33.3,7,58.3,,,128,7,0,4,6,2,1,,2,7,1,3,0,3,5.02,2,1,178,1.01,3.03,0.51,0.29,30.84,81.33,1.52,75.0,1.01,0.51,33.33,3.54,58.33,,,64.72,3.54,0.0,2.02,3.03,1.01,0.51,,1.01,3.54,0.51,1.52,0.0,1.52,2.54,0.72,0.80,0.72,4,,2,3,15.8,,0.37,0.41,0.37,2.02,,1.01,1.52,15.79,,,,,,153099.27
1138769,David Da Costa,Portland Timbers,307690,https://www.fotmob.com/players/1138769/david-da-costa,Central Midfielder,CM,midfielders,168 cm,10,25,Portugal,Right,$6.8m,5915544,€5.9m,2028-12-31,MLS,Western,Major League Soccer,2026,,6.9,11,896,1,0,,,,,,,,,,,,1,0,,,6.90,11,11,,,,,,,,,,,,,0.1,0.0,,,,,,,,,,,,,,,1.0,3.0,11.0,1,10,3,1.75,429,89.6,11,64.7,15,2,28.6,19,45.2,1,50.0,581,20,11,9,20,7,4,1,6,30,,8,0,18,20.64,1,3,896,0.1,1.0,0.3,0.18,43.09,89.56,1.1,64.71,1.51,0.2,28.57,1.91,45.24,0.1,50.0,58.36,2.01,1.1,0.9,2.01,0.7,0.4,0.1,0.6,3.01,,0.8,0.0,1.81,2.07,0.83,0.19,0.83,3,,3,1,8.3,,0.08,0.02,0.08,0.3,,0.3,0.1,8.33,,,5,,0.5,6785128.97
955472,Cole Bassett,Portland Timbers,307690,https://www.fotmob.com/players/955472/cole-bassett,Defensive Midfielder,DM,midfielders,180 cm,17,24,USA,Both,$2.8m,2441635,€2.4m,2027-12-31,MLS,Western,Major League Soccer,2026,,7.27,10,835,1,0,,,,,,,,,,,,1,0,,,7.27,10,10,,,,,,,,,,,,,0.11,0.0,,,,,,,,,,,,,,,2.0,2.0,10.0,2,15,2,1.47,576,91.3,22,78.6,12,8,88.9,46,59.7,7,53.8,782,24,10,11,44,20,11,2,10,45,5,11,0,17,17.83,2,2,835,0.22,1.62,0.22,0.16,62.08,91.28,2.37,78.57,1.29,0.86,88.89,4.96,59.74,0.75,53.85,84.29,2.59,1.08,1.19,4.74,2.16,1.19,0.22,1.08,4.85,0.54,1.19,0.0,1.83,1.92,1.88,2.83,1.88,7,3,2,4,28.6,,0.2,0.3,0.2,0.75,0.32,0.22,0.43,28.57,,,4,,0.43,2800555.34
50336,Diego Chará,Portland Timbers,307690,https://www.fotmob.com/players/50336/diego-char,Central Midfielder,CM,midfielders,170 cm,21,40,Colombia,Right,$57.4k,50000,€50k,2026-12-31,MLS,Western,Major League Soccer,2026,,6.68,10,543,2,0,,,,,,,,,,,,2,0,,,6.68,10,5,,,,,,,,,,,,,0.33,0.0,,,,,,,,,,,,,,,0.0,0.0,5.0,0,1,0,0.64,324,92.8,11,68.8,5,1,25.0,33,60.0,2,28.6,431,1,3,9,41,21,6,6,6,32,5,8,0,14,12.74,0,0,543,0.0,0.17,0.0,0.11,53.7,92.84,1.82,68.75,0.83,0.17,25.0,5.47,60.0,0.33,28.57,71.44,0.17,0.5,1.49,6.8,3.48,0.99,0.99,0.99,5.3,0.83,1.33,0.0,2.32,2.11,0.02,,0.02,,,1,1,50.0,,0.0,,0.0,,,0.17,0.17,50.0,,,2,,0.33,57350.0
1715234,Ian Smith,Portland Timbers,307690,https://www.fotmob.com/players/1715234/ian-smith,Left Wing-Back,LWB,midfielders,,23,23,USA,Left,$251.0k,218844,€218.8k,2026-12-31,MLS,Western,Major League Soccer,2026,,6.48,11,313,3,0,,,,,,,,,,,,3,0,,,6.48,11,1,,,,,,,,,,,,,0.86,0.0,,,,,,,,,,,,,,,0.0,0.0,1.0,0,4,0,0.13,161,88.5,3,30.0,3,2,66.7,30,73.2,14,77.8,276,12,0,3,38,11,8,6,6,12,,13,0,6,6.08,0,0,313,0.0,1.15,0.0,0.04,46.29,88.46,0.86,30.0,0.86,0.58,66.67,8.63,73.17,4.03,77.78,79.36,3.45,0.0,0.86,10.93,3.16,2.3,1.73,1.73,3.45,,3.74,0.0,1.73,1.75,0.30,0.43,0.30,1,3,1,,,,0.09,0.12,0.09,0.29,0.86,0.29,,,,,1,,0.29,251014.07
1331128,José Caicedo,Portland Timbers,307690,https://www.fotmob.com/players/1331128/jos-caicedo,Central Midfielder,CM,midfielders,184 cm,30,24,Colombia,,$1.6m,1356000,€1.4m,2030-06-30,MLS,Western,Major League Soccer,2026,,7.09,7,504,1,0,,,,,,,,,,,,1,0,,,7.09,7,7,,,,,,,,,,,,,0.18,0.0,,,,,,,,,,,,,,,0.0,0.0,7.0,0,4,0,0.28,379,89.0,18,66.7,4,2,40.0,37,62.7,7,58.3,525,4,2,10,44,18,8,4,5,34,7,14,0,9,12.18,0,0,504,0.0,0.71,0.0,0.05,67.68,88.97,3.21,66.67,0.71,0.36,40.0,6.61,62.71,1.25,58.33,93.75,0.71,0.36,1.79,7.86,3.21,1.43,0.71,0.89,6.07,1.25,2.5,0.0,1.61,2.17,0.21,0.07,0.21,1,1,,,,,0.04,0.01,0.04,0.18,0.18,,,,,,4,,0.71,1555332.0
1780962,Eric Izoita,Portland Timbers 2,307690,https://www.fotmob.com/players/1780962/eric-izoita,Defensive Midfielder,DM,midfielders,,73,18,USA,,$1.1m,915906,€915.9k,,MLS,Western,MLS Next Pro,2026,,7.19,13,1170,2,0,,,,,,,,,,,,0,0,,,5.57,1,1,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,1.0,2.0,13.0,1,1,0,0.01,33,66.0,1,14.3,,,,3,25.0,2,50.0,67,1,2,,2,1,,,2,1,3,1,0,4,3.11,1,0,90,1.0,1.0,0.0,0.01,33.0,66.0,1.0,14.29,,,,3.0,25.0,2.0,50.0,67.0,1.0,2.0,,2.0,1.0,,,2.0,1.0,3.0,1.0,0.0,4.0,3.11,0.04,0.32,0.04,1,,,,,,0.04,0.32,0.04,1.0,,,,,,,,,,1050544.18
950372,Joao Ortiz,Portland Timbers,307690,https://www.fotmob.com/players/950372/joao-ortiz,Central Midfielder,CM,midfielders,177 cm,80,30,Ecuador,,$1.2m,1004324,€1m,2027-12-31,MLS,Western,Major League Soccer,2026,,6.6,8,434,0,0,,,,,,,,,,,,0,0,,,6.60,8,4,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,1.0,4.0,0,5,1,0.31,269,92.8,12,80.0,3,2,100.0,19,65.5,2,33.3,341,5,3,9,18,6,3,,3,35,,9,0,11,8.51,0,1,434,0.0,1.04,0.21,0.06,55.78,92.76,2.49,80.0,0.62,0.41,100.0,3.94,65.52,0.41,33.33,70.71,1.04,0.62,1.87,3.73,1.24,0.62,,0.62,7.26,,1.87,0.0,2.28,1.77,0.15,0.01,0.15,1,1,,2,50.0,,0.03,0.0,0.03,0.21,0.21,,0.41,50.0,,,2,,0.41,1151959.63
244571,Felipe Mora,Portland Timbers,307690,https://www.fotmob.com/players/244571/felipe-mora,Striker,ST,attackers,175 cm,9,32,Chile,Right,$1.3m,1119064,€1.1m,2026-12-31,MLS,Western,Major League Soccer,2026,,6.45,10,360,1,0,,,,,,,,,,,,1,0,,,6.45,10,4,,,,,,,,,,,,,0.25,0.0,,,,,,,,,,,,,,,1.0,0.0,4.0,1,6,0,0.14,75,83.3,4,66.7,2,,,19,50.0,6,42.9,138,14,8,9,9,4,1,,1,15,1,4,0,11,6.52,1,0,360,0.25,1.5,0.0,0.03,18.75,83.33,1.0,66.67,0.5,,,4.75,50.0,1.5,42.86,34.5,3.5,2.0,2.25,2.25,1.0,0.25,,0.25,3.75,0.25,1.0,0.0,2.75,1.63,0.67,0.93,0.67,2,3,,,,,0.17,0.23,0.17,0.5,0.75,,,,,,2,,0.5,1283566.41
